"プロット タイトル: Microstation_00_ecser_surface_210528"
"#","日付 時間, GMT+09:00","PAR, uE","風速, m/s","突風の速さ, m/s","圧力, mbar"
90,05/29/2021 06:10:01 午前,108.7,0.00,1.51,1006.850
91,05/29/2021 06:20:01 午前,106.2,0.00,2.52,1006.750
92,05/29/2021 06:30:01 午前,321.2,0.50,2.52,1006.150
93,05/29/2021 06:40:01 午前,341.2,1.01,3.52,1006.250
94,05/29/2021 06:50:01 午前,171.2,1.01,3.52,1007.050
95,05/29/2021 07:00:01 午前,588.7,1.01,3.52,1006.050
96,05/29/2021 07:10:01 午前,276.2,0.00,2.01,1007.250
97,05/29/2021 07:20:01 午前,298.7,0.50,3.52,1007.350
98,05/29/2021 07:30:01 午前,343.7,1.01,3.02,1006.950
99,05/29/2021 07:40:01 午前,348.7,0.50,3.02,1007.250
100,05/29/2021 07:50:01 午前,263.7,0.50,5.03,1007.750
101,05/29/2021 08:00:01 午前,418.7,1.51,4.03,1007.150
102,05/29/2021 08:10:01 午前,341.2,1.51,4.53,1007.350
103,05/29/2021 08:20:01 午前,326.2,2.01,5.03,1007.550
104,05/29/2021 08:30:01 午前,1213.7,1.01,3.52,1006.250
105,05/29/2021 08:40:01 午前,486.2,1.51,4.03,1007.050
106,05/29/2021 08:50:01 午前,1243.7,1.51,4.03,1005.950
107,05/29/2021 09:00:01 午前,1318.7,1.51,3.52,1005.850
108,05/29/2021 09:10:01 午前,1311.2,1.51,4.03,1006.050
109,05/29/2021 09:20:01 午前,1416.2,1.01,2.52,1005.950
110,05/29/2021 09:30:01 午前,1478.7,1.01,3.02,1005.850
111,05/29/2021 09:40:01 午前,1483.7,1.01,2.52,1005.950
112,05/29/2021 09:50:01 午前,1556.2,0.50,1.51,1006.050
113,05/29/2021 10:00:01 午前,1623.7,1.01,4.03,1005.950
114,05/29/2021 10:10:01 午前,1646.2,1.01,4.03,1006.050
115,05/29/2021 10:20:01 午前,1681.2,1.51,3.52,1006.150
116,05/29/2021 10:30:01 午前,1738.7,1.01,3.02,1006.250
117,05/29/2021 10:40:01 午前,1768.7,1.51,3.52,1007.050
118,05/29/2021 10:50:01 午前,1793.7,1.51,4.53,1006.350
119,05/29/2021 11:00:01 午前,1843.7,1.01,3.52,1006.450
120,05/29/2021 11:10:01 午前,1866.2,1.51,4.03,1006.550
121,05/29/2021 11:20:01 午前,1901.2,1.51,3.52,1006.350
122,05/29/2021 11:30:01 午前,1913.7,1.51,4.53,1006.450
123,05/29/2021 11:40:01 午前,1886.2,1.51,4.53,1006.450
124,05/29/2021 11:50:01 午前,1908.7,1.01,3.52,1006.450
125,05/29/2021 12:00:01 午後,1923.7,1.01,4.03,1006.650
126,05/29/2021 12:10:01 午後,1913.7,1.01,3.52,1006.950
127,05/29/2021 12:20:01 午後,1911.2,1.01,4.53,1007.150
128,05/29/2021 12:30:01 午後,1923.7,1.01,4.03,1007.250
129,05/29/2021 12:40:01 午後,1926.2,1.01,4.03,1007.350
130,05/29/2021 12:50:01 午後,1893.7,1.01,3.52,1007.350
131,05/29/2021 01:00:01 午後,1893.7,1.01,4.53,1007.450
132,05/29/2021 01:10:01 午後,1876.2,1.01,2.52,1007.250
133,05/29/2021 01:20:01 午後,1853.7,1.01,3.52,1007.150
134,05/29/2021 01:30:01 午後,1753.7,1.01,4.03,1006.950
135,05/29/2021 01:40:01 午後,1708.7,1.51,4.03,1007.050
136,05/29/2021 01:50:01 午後,1776.2,1.51,4.03,1007.050
137,05/29/2021 02:00:01 午後,1746.2,1.01,3.02,1006.950
138,05/29/2021 02:10:01 午後,1708.7,1.51,4.03,1006.950
139,05/29/2021 02:20:01 午後,1678.7,2.01,4.03,1006.950
140,05/29/2021 02:30:01 午後,1643.7,1.01,3.02,1006.950
141,05/29/2021 02:40:01 午後,1633.7,1.01,3.02,1006.950
142,05/29/2021 02:50:01 午後,1558.7,1.51,4.03,1006.750
143,05/29/2021 03:00:01 午後,1503.7,2.52,5.03,1006.750
144,05/29/2021 03:10:01 午後,1463.7,2.52,6.04,1006.850
145,05/29/2021 03:20:01 午後,1386.2,3.02,5.03,1006.950
146,05/29/2021 03:30:01 午後,1333.7,1.51,4.03,1006.950
147,05/29/2021 03:40:01 午後,1291.2,2.52,5.03,1007.050
148,05/29/2021 03:50:01 午後,1238.7,3.02,6.54,1006.950
149,05/29/2021 04:00:01 午後,1173.7,4.53,7.05,1006.850
150,05/29/2021 04:10:01 午後,1073.7,5.03,7.55,1006.750
151,05/29/2021 04:20:01 午後,1056.2,5.03,8.05,1006.850
152,05/29/2021 04:30:01 午後,998.7,5.03,8.05,1006.950
153,05/29/2021 04:40:01 午後,913.7,5.03,7.55,1006.950
154,05/29/2021 04:50:01 午後,793.7,4.53,7.55,1006.850
155,05/29/2021 05:00:01 午後,778.7,5.03,8.56,1007.050
156,05/29/2021 05:10:01 午後,581.2,4.03,8.05,1007.150
157,05/29/2021 05:20:01 午後,598.7,4.03,7.05,1007.250
158,05/29/2021 05:30:01 午後,438.7,3.52,5.54,1007.350
159,05/29/2021 05:40:01 午後,401.2,3.02,6.54,1007.450
160,05/29/2021 05:50:01 午後,471.2,2.52,5.54,1007.450
161,05/29/2021 06:00:01 午後,268.7,1.01,4.03,1007.650
162,05/29/2021 06:10:01 午後,211.2,0.50,3.02,1007.750
163,05/29/2021 06:20:01 午後,176.2,1.01,3.02,1007.850
164,05/29/2021 06:30:01 午後,146.2,0.50,2.52,1007.950
165,05/29/2021 06:40:01 午後,98.7,0.50,2.01,1007.950
166,05/29/2021 06:50:01 午後,71.2,1.01,2.52,1008.150
167,05/29/2021 07:00:01 午後,43.7,0.00,1.51,1008.450
168,05/29/2021 07:10:01 午後,26.2,1.01,2.52,1008.450
169,05/29/2021 07:20:01 午後,8.7,1.01,2.52,1008.550
170,05/29/2021 07:30:01 午後,1.2,0.50,2.52,1008.550
171,05/29/2021 07:40:01 午後,1.2,0.50,2.01,1008.650
172,05/29/2021 07:50:01 午後,1.2,0.50,2.01,1008.750
173,05/29/2021 08:00:01 午後,1.2,0.00,2.01,1008.750
174,05/29/2021 08:10:01 午後,1.2,0.00,2.01,1008.950
175,05/29/2021 08:20:01 午後,1.2,0.00,1.51,1008.950
176,05/29/2021 08:30:01 午後,1.2,0.00,1.51,1009.050
177,05/29/2021 08:40:01 午後,1.2,0.00,1.01,1009.050
178,05/29/2021 08:50:01 午後,1.2,0.00,1.01,1008.950
179,05/29/2021 09:00:01 午後,1.2,0.00,1.01,1009.050
180,05/29/2021 09:10:01 午後,1.2,0.00,1.01,1009.150
181,05/29/2021 09:20:01 午後,1.2,0.00,1.01,1009.250
182,05/29/2021 09:30:01 午後,1.2,0.00,1.51,1009.350
183,05/29/2021 09:40:01 午後,1.2,0.00,1.01,1009.350
184,05/29/2021 09:50:01 午後,1.2,0.00,1.01,1009.550
185,05/29/2021 10:00:01 午後,1.2,0.00,1.01,1009.450
186,05/29/2021 10:10:01 午後,1.2,0.00,1.51,1009.350
187,05/29/2021 10:20:01 午後,1.2,0.00,1.01,1009.550
188,05/29/2021 10:30:01 午後,1.2,0.00,1.01,1009.650
189,05/29/2021 10:40:01 午後,1.2,0.00,1.01,1009.850
190,05/29/2021 10:50:01 午後,1.2,0.00,1.51,1009.550
191,05/29/2021 11:00:01 午後,1.2,0.00,1.01,1009.650
192,05/29/2021 11:10:01 午後,1.2,0.00,1.51,1009.550
193,05/29/2021 11:20:01 午後,1.2,0.00,1.51,1009.350
194,05/29/2021 11:30:01 午後,1.2,0.00,0.50,1009.350
195,05/29/2021 11:40:01 午後,1.2,0.00,0.50,1009.350
196,05/29/2021 11:50:01 午後,1.2,0.00,1.01,1009.250
197,05/30/2021 12:00:01 午前,1.2,0.00,0.50,1009.250
198,05/30/2021 12:10:01 午前,1.2,0.00,1.01,1009.250
199,05/30/2021 12:20:01 午前,1.2,0.00,1.01,1009.250
200,05/30/2021 12:30:01 午前,1.2,0.00,1.51,1009.150
201,05/30/2021 12:40:01 午前,1.2,0.00,1.51,1009.150
202,05/30/2021 12:50:01 午前,1.2,0.00,1.01,1009.050
203,05/30/2021 01:00:01 午前,1.2,0.00,1.51,1009.050
204,05/30/2021 01:10:01 午前,1.2,0.00,1.01,1008.950
205,05/30/2021 01:20:01 午前,1.2,0.00,1.01,1008.950
206,05/30/2021 01:30:01 午前,1.2,0.00,1.01,1009.050
207,05/30/2021 01:40:01 午前,1.2,0.00,1.51,1008.850
208,05/30/2021 01:50:01 午前,1.2,0.00,1.01,1008.550
209,05/30/2021 02:00:01 午前,1.2,0.00,1.01,1008.650
210,05/30/2021 02:10:01 午前,1.2,0.00,1.01,1008.450
211,05/30/2021 02:20:01 午前,1.2,0.00,1.51,1008.550
212,05/30/2021 02:30:01 午前,1.2,0.00,1.51,1008.550
213,05/30/2021 02:40:01 午前,1.2,0.00,1.51,1008.450
214,05/30/2021 02:50:01 午前,1.2,0.00,1.01,1008.750
215,05/30/2021 03:00:01 午前,1.2,0.00,1.01,1008.750
216,05/30/2021 03:10:01 午前,1.2,0.00,1.01,1008.750
217,05/30/2021 03:20:01 午前,1.2,0.00,1.01,1008.950
218,05/30/2021 03:30:01 午前,1.2,0.00,0.50,1009.050
219,05/30/2021 03:40:01 午前,1.2,0.00,0.50,1009.050
220,05/30/2021 03:50:01 午前,1.2,0.00,1.01,1009.150
221,05/30/2021 04:00:01 午前,1.2,0.00,1.01,1009.150
222,05/30/2021 04:10:01 午前,1.2,0.00,1.01,1009.050
223,05/30/2021 04:20:01 午前,1.2,0.00,1.01,1009.350
224,05/30/2021 04:30:01 午前,1.2,0.00,0.50,1009.350
225,05/30/2021 04:40:01 午前,1.2,0.00,1.01,1009.350
226,05/30/2021 04:50:01 午前,1.2,0.00,1.01,1009.550
227,05/30/2021 05:00:01 午前,1.2,0.00,1.51,1009.550
228,05/30/2021 05:10:01 午前,3.7,0.00,1.01,1009.550
229,05/30/2021 05:20:01 午前,13.7,0.00,1.01,1009.750
230,05/30/2021 05:30:01 午前,31.2,0.00,1.51,1009.850
231,05/30/2021 05:40:01 午前,51.2,0.00,1.01,1009.750
232,05/30/2021 05:50:01 午前,71.2,0.00,1.01,1009.650
233,05/30/2021 06:00:01 午前,83.7,0.00,1.01,1009.850
234,05/30/2021 06:10:01 午前,98.7,0.00,1.01,1009.950
235,05/30/2021 06:20:01 午前,116.2,0.00,1.01,1009.950
236,05/30/2021 06:30:01 午前,328.7,0.00,1.01,1008.950
237,05/30/2021 06:40:01 午前,396.2,0.00,2.01,1008.950
238,05/30/2021 06:50:01 午前,463.7,0.00,1.51,1008.650
239,05/30/2021 07:00:01 午前,526.2,0.00,2.01,1008.550
240,05/30/2021 07:10:01 午前,596.2,0.00,2.52,1008.450
241,05/30/2021 07:20:01 午前,676.2,0.50,4.03,1008.450
242,05/30/2021 07:30:01 午前,738.7,0.50,3.02,1008.650
243,05/30/2021 07:40:01 午前,806.2,0.00,2.01,1008.650
244,05/30/2021 07:50:01 午前,868.7,0.50,2.52,1008.750
245,05/30/2021 08:00:01 午前,933.7,0.50,2.01,1008.750
246,05/30/2021 08:10:01 午前,1006.2,0.00,3.02,1008.650
247,05/30/2021 08:20:01 午前,1068.7,0.00,1.01,1008.650
248,05/30/2021 08:30:01 午前,1121.2,0.00,1.01,1008.550
249,05/30/2021 08:40:01 午前,1183.7,0.00,2.52,1008.550
250,05/30/2021 08:50:01 午前,1241.2,0.50,3.02,1008.450
251,05/30/2021 09:00:01 午前,1288.7,0.50,2.52,1008.350
252,05/30/2021 09:10:01 午前,1343.7,0.00,2.01,1008.450
253,05/30/2021 09:20:01 午前,1408.7,1.01,2.52,1008.250
254,05/30/2021 09:30:01 午前,1463.7,1.51,3.52,1008.150
255,05/30/2021 09:40:01 午前,1508.7,1.51,3.52,1008.150
256,05/30/2021 09:50:01 午前,1556.2,1.51,3.52,1008.050
257,05/30/2021 10:00:01 午前,1603.7,1.51,3.52,1008.050
258,05/30/2021 10:10:01 午前,1638.7,1.01,3.52,1007.950
259,05/30/2021 10:20:01 午前,1676.2,1.01,4.03,1007.950
260,05/30/2021 10:30:01 午前,1716.2,1.51,3.52,1008.050
261,05/30/2021 10:40:01 午前,1743.7,1.01,3.52,1008.550
262,05/30/2021 10:50:01 午前,1773.7,1.01,3.52,1008.050
263,05/30/2021 11:00:01 午前,1823.7,1.51,3.52,1007.950
264,05/30/2021 11:10:01 午前,1853.7,1.51,3.52,1007.950
265,05/30/2021 11:20:01 午前,1841.2,1.51,3.52,1008.050
266,05/30/2021 11:30:01 午前,1851.2,1.51,4.03,1007.950
267,05/30/2021 11:40:01 午前,1871.2,1.51,3.52,1007.950
268,05/30/2021 11:50:01 午前,1888.7,1.01,4.03,1007.950
269,05/30/2021 12:00:01 午後,1848.7,1.01,4.53,1007.950
270,05/30/2021 12:10:01 午後,1896.2,1.51,4.53,1007.950
271,05/30/2021 12:20:01 午後,1833.7,2.01,4.03,1008.050
272,05/30/2021 12:30:01 午後,1878.7,1.51,4.53,1008.150
273,05/30/2021 12:40:01 午後,1866.2,1.01,3.02,1008.150
274,05/30/2021 12:50:01 午後,1858.7,2.01,4.03,1008.250
275,05/30/2021 01:00:01 午後,1848.7,1.51,4.03,1008.250
276,05/30/2021 01:10:01 午後,1823.7,1.01,3.02,1008.050
277,05/30/2021 01:20:01 午後,1816.2,1.51,4.53,1007.950
278,05/30/2021 01:30:01 午後,1796.2,3.02,5.03,1007.950
279,05/30/2021 01:40:01 午後,1778.7,1.51,4.03,1007.850
280,05/30/2021 01:50:01 午後,1741.2,1.01,3.52,1007.950
281,05/30/2021 02:00:01 午後,1738.7,1.51,3.52,1007.950
282,05/30/2021 02:10:01 午後,1571.2,3.52,6.04,1007.850
283,05/30/2021 02:20:01 午後,1673.7,4.03,6.04,1007.950
284,05/30/2021 02:30:01 午後,1661.2,3.52,5.54,1007.950
285,05/30/2021 02:40:01 午後,1508.7,3.52,6.04,1007.850
286,05/30/2021 02:50:01 午後,1481.2,3.02,5.03,1007.950
287,05/30/2021 03:00:01 午後,1491.2,3.52,6.54,1008.050
288,05/30/2021 03:10:01 午後,1436.2,3.52,5.54,1008.050
289,05/30/2021 03:20:01 午後,1391.2,3.02,5.03,1008.050
290,05/30/2021 03:30:01 午後,1323.7,3.02,5.03,1007.950
291,05/30/2021 03:40:01 午後,1263.7,2.52,5.03,1007.950
292,05/30/2021 03:50:01 午後,1201.2,3.02,5.54,1007.950
293,05/30/2021 04:00:01 午後,1141.2,3.02,5.03,1007.750
294,05/30/2021 04:10:01 午後,1076.2,3.02,5.03,1007.950
295,05/30/2021 04:20:01 午後,1016.2,1.51,4.53,1007.850
296,05/30/2021 04:30:01 午後,951.2,2.52,4.03,1007.750
297,05/30/2021 04:40:01 午後,881.2,2.52,5.03,1007.650
298,05/30/2021 04:50:01 午後,808.7,2.01,4.03,1007.750
299,05/30/2021 05:00:01 午後,743.7,3.02,5.03,1007.650
300,05/30/2021 05:10:01 午後,673.7,2.52,4.53,1007.750
301,05/30/2021 05:20:01 午後,606.2,2.52,4.03,1007.850
302,05/30/2021 05:30:01 午後,533.7,2.52,4.03,1007.750
303,05/30/2021 05:40:01 午後,471.2,1.51,3.02,1007.650
304,05/30/2021 05:50:01 午後,408.7,1.51,4.03,1008.050
305,05/30/2021 06:00:01 午後,341.2,1.01,2.52,1008.150
306,05/30/2021 06:10:01 午後,283.7,1.01,3.02,1008.250
307,05/30/2021 06:20:01 午後,226.2,1.01,2.52,1008.250
308,05/30/2021 06:30:01 午後,171.2,0.50,2.01,1008.250
309,05/30/2021 06:40:01 午後,123.7,0.00,1.51,1008.350
310,05/30/2021 06:50:01 午後,81.2,0.00,1.01,1008.450
311,05/30/2021 07:00:01 午後,48.7,0.00,1.01,1008.550
312,05/30/2021 07:10:01 午後,26.2,0.50,1.51,1008.650
313,05/30/2021 07:20:01 午後,11.2,0.50,2.01,1008.850
314,05/30/2021 07:30:01 午後,1.2,0.00,1.51,1008.950
315,05/30/2021 07:40:01 午後,1.2,0.00,1.51,1009.050
316,05/30/2021 07:50:01 午後,1.2,0.50,2.01,1009.250
317,05/30/2021 08:00:01 午後,1.2,0.50,2.01,1009.550
318,05/30/2021 08:10:01 午後,1.2,0.00,2.01,1009.550
319,05/30/2021 08:20:01 午後,1.2,0.00,1.51,1009.650
320,05/30/2021 08:30:01 午後,1.2,0.00,1.51,1009.750
321,05/30/2021 08:40:01 午後,1.2,0.00,1.51,1009.950
322,05/30/2021 08:50:01 午後,1.2,0.00,2.01,1010.050
323,05/30/2021 09:00:01 午後,1.2,0.00,1.51,1010.150
324,05/30/2021 09:10:01 午後,1.2,0.00,1.51,1010.250
325,05/30/2021 09:20:01 午後,1.2,0.00,2.01,1010.450
326,05/30/2021 09:30:01 午後,1.2,0.00,1.51,1010.550
327,05/30/2021 09:40:01 午後,1.2,0.00,1.01,1010.450
328,05/30/2021 09:50:01 午後,1.2,0.00,1.01,1010.550
329,05/30/2021 10:00:01 午後,1.2,0.00,1.51,1010.550
330,05/30/2021 10:10:01 午後,1.2,0.00,1.01,1010.550
331,05/30/2021 10:20:01 午後,1.2,0.00,1.51,1010.550
332,05/30/2021 10:30:01 午後,1.2,0.00,1.01,1010.550
333,05/30/2021 10:40:01 午後,1.2,0.00,0.50,1010.650
334,05/30/2021 10:50:01 午後,1.2,0.00,1.51,1010.650
335,05/30/2021 11:00:01 午後,1.2,0.00,1.01,1010.650
336,05/30/2021 11:10:01 午後,1.2,0.00,1.01,1010.650
337,05/30/2021 11:20:01 午後,1.2,0.00,1.01,1010.750
338,05/30/2021 11:30:01 午後,1.2,0.00,1.51,1010.750
339,05/30/2021 11:40:01 午後,1.2,0.00,1.51,1010.650
340,05/30/2021 11:50:01 午後,1.2,0.00,1.01,1010.650
341,05/31/2021 12:00:01 午前,1.2,0.50,1.51,1010.450
342,05/31/2021 12:10:01 午前,1.2,0.00,2.01,1010.450
343,05/31/2021 12:20:01 午前,1.2,0.00,1.01,1010.350
344,05/31/2021 12:30:01 午前,1.2,0.00,2.01,1010.250
345,05/31/2021 12:40:01 午前,1.2,0.50,2.01,1010.150
346,05/31/2021 12:50:01 午前,1.2,0.00,1.51,1010.150
347,05/31/2021 01:00:01 午前,1.2,0.00,1.51,1010.150
348,05/31/2021 01:10:01 午前,1.2,0.00,1.51,1010.250
349,05/31/2021 01:20:01 午前,1.2,0.00,1.01,1010.350
350,05/31/2021 01:30:01 午前,1.2,0.00,2.01,1010.250
351,05/31/2021 01:40:01 午前,1.2,0.00,1.51,1010.350
352,05/31/2021 01:50:01 午前,1.2,0.00,1.01,1010.350
353,05/31/2021 02:00:01 午前,1.2,0.00,1.51,1010.350
354,05/31/2021 02:10:01 午前,1.2,0.00,0.50,1010.150
355,05/31/2021 02:20:01 午前,1.2,0.00,1.01,1010.350
356,05/31/2021 02:30:01 午前,1.2,0.00,1.01,1010.250
357,05/31/2021 02:40:01 午前,1.2,0.00,1.01,1010.350
358,05/31/2021 02:50:01 午前,1.2,0.00,1.51,1010.150
359,05/31/2021 03:00:01 午前,1.2,0.00,1.01,1010.250
360,05/31/2021 03:10:01 午前,1.2,0.00,1.51,1010.250
361,05/31/2021 03:20:01 午前,1.2,0.00,1.51,1010.350
362,05/31/2021 03:30:01 午前,1.2,0.00,1.51,1010.350
363,05/31/2021 03:40:01 午前,1.2,0.00,1.01,1010.350
364,05/31/2021 03:50:01 午前,1.2,0.00,1.01,1010.150
365,05/31/2021 04:00:01 午前,1.2,0.00,1.01,1010.150
366,05/31/2021 04:10:01 午前,1.2,0.00,0.50,1010.350
367,05/31/2021 04:20:01 午前,1.2,0.00,2.01,1010.050
368,05/31/2021 04:30:01 午前,1.2,0.00,2.01,1010.150
369,05/31/2021 04:40:01 午前,1.2,0.00,1.01,1010.150
370,05/31/2021 04:50:01 午前,1.2,0.00,1.01,1010.150
371,05/31/2021 05:00:01 午前,1.2,0.00,1.01,1010.250
372,05/31/2021 05:10:01 午前,3.7,0.00,1.51,1010.250
373,05/31/2021 05:20:01 午前,16.2,0.00,1.51,1010.150
374,05/31/2021 05:30:01 午前,31.2,0.00,1.51,1010.350
375,05/31/2021 05:40:01 午前,51.2,0.00,1.51,1010.450
376,05/31/2021 05:50:01 午前,73.7,0.00,1.51,1010.350
377,05/31/2021 06:00:01 午前,93.7,0.00,1.01,1010.350
378,05/31/2021 06:10:01 午前,113.7,0.00,1.51,1010.250
379,05/31/2021 06:20:01 午前,136.2,0.00,1.01,1010.350
380,05/31/2021 06:30:01 午前,303.7,0.00,1.01,1009.950
381,05/31/2021 06:40:01 午前,361.2,0.00,1.51,1009.950
382,05/31/2021 06:50:01 午前,423.7,0.00,2.01,1009.950
383,05/31/2021 07:00:01 午前,488.7,0.00,2.01,1009.750
384,05/31/2021 07:10:01 午前,558.7,0.00,0.50,1009.650
385,05/31/2021 07:20:01 午前,628.7,0.00,0.50,1009.450
386,05/31/2021 07:30:01 午前,681.2,0.00,3.02,1009.650
387,05/31/2021 07:40:01 午前,751.2,1.51,3.52,1009.750
388,05/31/2021 07:50:01 午前,821.2,0.50,3.02,1009.850
389,05/31/2021 08:00:01 午前,871.2,0.00,1.51,1009.750
390,05/31/2021 08:10:01 午前,931.2,0.00,1.51,1009.750
391,05/31/2021 08:20:01 午前,973.7,0.00,1.51,1009.850
392,05/31/2021 08:30:01 午前,1031.2,0.00,1.01,1009.850
