"プロット タイトル: Microstation_00_ecser_surface_201223"
"#","日付 時間, GMT+09:00","PAR, uE","風速, m/s","突風の速さ, m/s","圧力, mbar"
1,12/23/2020 06:00:01 午後,1.2,0.00,1.51,1023.050
2,12/23/2020 06:10:01 午後,1.2,0.00,1.01,1023.450
3,12/23/2020 06:20:01 午後,1.2,0.00,1.01,1023.350
4,12/23/2020 06:30:01 午後,1.2,0.00,1.01,1023.550
5,12/23/2020 06:40:01 午後,1.2,0.00,1.01,1024.050
6,12/23/2020 06:50:01 午後,1.2,0.00,0.50,1023.750
7,12/23/2020 07:00:01 午後,1.2,0.00,1.51,1023.450
8,12/23/2020 07:10:01 午後,1.2,0.00,0.00,1023.350
9,12/23/2020 07:20:01 午後,1.2,0.00,0.00,1023.250
10,12/23/2020 07:30:01 午後,1.2,0.00,0.00,1023.350
11,12/23/2020 07:40:01 午後,1.2,0.00,0.50,1023.350
12,12/23/2020 07:50:01 午後,1.2,0.00,0.50,1022.850
13,12/23/2020 08:00:01 午後,1.2,0.00,0.50,1022.450
14,12/23/2020 08:10:01 午後,1.2,0.00,0.00,1022.450
15,12/23/2020 08:20:01 午後,1.2,0.00,0.00,1022.450
16,12/23/2020 08:30:01 午後,1.2,0.00,0.00,1022.150
17,12/23/2020 08:40:01 午後,1.2,0.00,0.00,1022.050
18,12/23/2020 08:50:01 午後,1.2,0.00,1.01,1021.650
19,12/23/2020 09:00:01 午後,1.2,0.00,0.50,1021.450
20,12/23/2020 09:10:01 午後,1.2,0.00,0.50,1020.950
21,12/23/2020 09:20:01 午後,1.2,0.00,1.01,1020.950
22,12/23/2020 09:30:01 午後,1.2,0.00,1.51,1021.050
23,12/23/2020 09:40:01 午後,1.2,0.00,0.50,1020.850
24,12/23/2020 09:50:01 午後,1.2,0.00,0.50,1021.050
25,12/23/2020 10:00:01 午後,1.2,0.00,0.50,1021.050
26,12/23/2020 10:10:01 午後,1.2,0.00,1.01,1020.750
27,12/23/2020 10:20:01 午後,1.2,0.00,0.50,1020.450
28,12/23/2020 10:30:01 午後,1.2,0.00,1.01,1020.450
29,12/23/2020 10:40:01 午後,1.2,0.00,0.50,1020.650
30,12/23/2020 10:50:01 午後,1.2,0.00,1.51,1020.550
31,12/23/2020 11:00:01 午後,1.2,1.01,3.52,1020.350
32,12/23/2020 11:10:01 午後,1.2,0.50,2.52,1020.250
33,12/23/2020 11:20:01 午後,1.2,1.51,4.53,1020.150
34,12/23/2020 11:30:01 午後,1.2,1.51,4.53,1019.950
35,12/23/2020 11:40:01 午後,1.2,0.50,3.52,1019.950
36,12/23/2020 11:50:01 午後,1.2,0.50,3.02,1019.750
37,12/24/2020 12:00:01 午前,1.2,1.01,4.03,1019.650
38,12/24/2020 12:10:01 午前,1.2,0.50,3.52,1019.450
39,12/24/2020 12:20:01 午前,1.2,0.00,2.01,1019.550
40,12/24/2020 12:30:01 午前,1.2,0.00,1.51,1019.250
41,12/24/2020 12:40:01 午前,1.2,0.50,3.52,1019.250
42,12/24/2020 12:50:01 午前,1.2,1.01,4.03,1018.950
43,12/24/2020 01:00:01 午前,1.2,1.01,3.52,1019.150
44,12/24/2020 01:10:01 午前,1.2,0.00,1.51,1018.750
45,12/24/2020 01:20:01 午前,1.2,0.00,0.50,1018.850
46,12/24/2020 01:30:01 午前,1.2,0.00,0.50,1018.650
