"プロット タイトル: Microstation_00_ecser_surface_201223"
"#","日付 時間, GMT+09:00","PAR, uE","風速, m/s","突風の速さ, m/s","圧力, mbar"
47,12/24/2020 01:40:01 午前,1.2,0.00,1.51,1018.550
48,12/24/2020 01:50:01 午前,1.2,0.00,1.51,1018.450
49,12/24/2020 02:00:01 午前,1.2,0.00,2.52,1018.650
50,12/24/2020 02:10:01 午前,1.2,0.50,3.02,1018.650
51,12/24/2020 02:20:01 午前,1.2,0.00,1.01,1018.450
52,12/24/2020 02:30:01 午前,1.2,0.50,2.52,1018.450
53,12/24/2020 02:40:01 午前,1.2,0.50,3.52,1018.050
54,12/24/2020 02:50:01 午前,1.2,1.01,4.03,1018.250
55,12/24/2020 03:00:01 午前,1.2,0.50,3.02,1018.350
56,12/24/2020 03:10:01 午前,1.2,0.00,3.02,1018.150
57,12/24/2020 03:20:01 午前,1.2,0.00,1.01,1018.150
58,12/24/2020 03:30:01 午前,1.2,0.00,0.50,1018.050
59,12/24/2020 03:40:01 午前,1.2,0.00,0.00,1018.050
60,12/24/2020 03:50:01 午前,1.2,0.00,0.00,1017.950
61,12/24/2020 04:00:01 午前,1.2,0.00,0.50,1017.750
62,12/24/2020 04:10:01 午前,1.2,0.00,1.51,1017.650
63,12/24/2020 04:20:01 午前,1.2,0.00,1.01,1017.550
64,12/24/2020 04:30:01 午前,1.2,0.00,1.01,1017.150
65,12/24/2020 04:40:01 午前,1.2,0.00,1.01,1016.950
66,12/24/2020 04:50:01 午前,1.2,0.00,1.01,1016.550
67,12/24/2020 05:00:01 午前,1.2,0.00,1.01,1016.750
68,12/24/2020 05:10:01 午前,1.2,0.50,2.01,1016.650
69,12/24/2020 05:20:01 午前,1.2,0.50,2.01,1016.750
70,12/24/2020 05:30:01 午前,1.2,0.00,1.51,1016.750
71,12/24/2020 05:40:01 午前,1.2,0.00,0.50,1016.850
72,12/24/2020 05:50:01 午前,1.2,0.00,2.01,1016.750
73,12/24/2020 06:00:01 午前,1.2,0.00,2.01,1017.350
74,12/24/2020 06:10:01 午前,1.2,0.00,1.01,1017.350
75,12/24/2020 06:20:01 午前,1.2,0.00,0.00,1017.350
76,12/24/2020 06:30:01 午前,1.2,0.00,0.00,1017.250
77,12/24/2020 06:40:01 午前,1.2,0.00,0.00,1017.450
78,12/24/2020 06:50:01 午前,1.2,0.00,0.50,1017.350
79,12/24/2020 07:00:01 午前,1.2,0.00,0.50,1017.350
80,12/24/2020 07:10:01 午前,1.2,0.00,0.50,1017.250
81,12/24/2020 07:20:01 午前,1.2,0.00,2.01,1017.750
82,12/24/2020 07:30:01 午前,1.2,0.00,1.01,1017.950
83,12/24/2020 07:40:01 午前,6.2,0.00,1.01,1017.650
84,12/24/2020 07:50:01 午前,13.7,0.00,2.52,1017.450
85,12/24/2020 08:00:01 午前,18.7,0.00,1.51,1017.350
86,12/24/2020 08:10:01 午前,28.7,0.00,1.51,1017.450
87,12/24/2020 08:20:01 午前,23.7,0.00,1.51,1017.750
88,12/24/2020 08:30:01 午前,26.2,0.00,1.01,1017.850
89,12/24/2020 08:40:01 午前,23.7,0.00,1.01,1017.650
90,12/24/2020 08:50:01 午前,31.2,0.00,1.01,1017.650
91,12/24/2020 09:00:01 午前,46.2,0.00,2.01,1017.550
92,12/24/2020 09:10:01 午前,51.2,0.00,1.01,1017.750
93,12/24/2020 09:20:01 午前,66.2,0.00,1.51,1017.850
94,12/24/2020 09:30:01 午前,86.2,0.00,1.51,1017.250
95,12/24/2020 09:40:01 午前,111.2,0.00,1.01,1017.050
96,12/24/2020 09:50:01 午前,106.2,0.00,1.01,1017.150
97,12/24/2020 10:00:01 午前,98.7,0.00,1.01,1017.050
98,12/24/2020 10:10:01 午前,128.7,0.00,1.01,1017.350
99,12/24/2020 10:20:01 午前,93.7,0.50,2.52,1017.650
100,12/24/2020 10:30:01 午前,48.7,0.00,1.51,1017.950
101,12/24/2020 10:40:01 午前,118.7,0.50,3.02,1017.750
102,12/24/2020 10:50:01 午前,116.2,0.50,2.52,1017.550
103,12/24/2020 11:00:01 午前,183.7,0.00,1.51,1017.250
104,12/24/2020 11:10:01 午前,128.7,0.00,2.01,1017.150
105,12/24/2020 11:20:01 午前,121.2,0.50,2.01,1016.950
106,12/24/2020 11:30:01 午前,168.7,0.50,2.52,1016.150
107,12/24/2020 11:40:01 午前,203.7,0.00,3.02,1015.750
108,12/24/2020 11:50:01 午前,231.2,0.00,2.01,1015.450
109,12/24/2020 12:00:01 午後,181.2,1.01,4.03,1015.550
110,12/24/2020 12:10:01 午後,166.2,1.01,3.52,1015.550
111,12/24/2020 12:20:01 午後,116.2,1.51,3.52,1015.550
112,12/24/2020 12:30:01 午後,138.7,1.01,4.03,1015.450
113,12/24/2020 12:40:01 午後,156.2,1.01,4.03,1015.050
114,12/24/2020 12:50:01 午後,103.7,1.01,3.52,1015.250
115,12/24/2020 01:00:01 午後,121.2,0.50,3.02,1015.050
116,12/24/2020 01:10:01 午後,171.2,0.50,2.52,1014.750
117,12/24/2020 01:20:01 午後,111.2,0.50,3.02,1014.850
118,12/24/2020 01:30:01 午後,146.2,0.50,2.52,1014.750
119,12/24/2020 01:40:01 午後,231.2,0.50,2.52,1014.550
120,12/24/2020 01:50:01 午後,311.2,0.00,1.51,1014.650
121,12/24/2020 02:00:01 午後,296.2,0.00,1.51,1014.550
122,12/24/2020 02:10:01 午後,278.7,0.00,0.00,1014.550
123,12/24/2020 02:20:01 午後,221.2,0.00,0.50,1014.650
124,12/24/2020 02:30:01 午後,183.7,0.00,1.01,1014.650
125,12/24/2020 02:40:01 午後,256.2,0.00,1.01,1014.850
126,12/24/2020 02:50:01 午後,183.7,0.00,1.51,1014.950
127,12/24/2020 03:00:01 午後,208.7,0.00,1.01,1014.950
128,12/24/2020 03:10:01 午後,111.2,0.00,1.01,1015.350
129,12/24/2020 03:20:01 午後,66.2,0.00,2.01,1015.750
130,12/24/2020 03:30:01 午後,38.7,0.00,2.01,1015.650
131,12/24/2020 03:40:01 午後,43.7,0.50,3.52,1015.750
132,12/24/2020 03:50:01 午後,41.2,1.01,4.03,1015.750
133,12/24/2020 04:00:01 午後,133.7,1.51,4.03,1015.450
134,12/24/2020 04:10:01 午後,166.2,0.00,2.52,1015.650
135,12/24/2020 04:20:01 午後,218.7,0.50,2.52,1015.750
136,12/24/2020 04:30:01 午後,103.7,1.01,2.52,1015.850
137,12/24/2020 04:40:01 午後,66.2,1.01,3.52,1015.850
138,12/24/2020 04:50:01 午後,76.2,0.50,3.02,1016.050
139,12/24/2020 05:00:01 午後,46.2,0.00,2.01,1016.350
140,12/24/2020 05:10:01 午後,23.7,0.00,2.01,1016.450
141,12/24/2020 05:20:01 午後,8.7,0.00,1.51,1016.450
142,12/24/2020 05:30:01 午後,1.2,0.00,2.01,1016.450
143,12/24/2020 05:40:01 午後,1.2,0.00,2.52,1016.450
144,12/24/2020 05:50:01 午後,1.2,0.50,3.02,1016.550
145,12/24/2020 06:00:01 午後,1.2,0.00,1.51,1016.550
146,12/24/2020 06:10:01 午後,1.2,0.00,1.01,1016.450
147,12/24/2020 06:20:01 午後,1.2,0.00,2.01,1016.550
148,12/24/2020 06:30:01 午後,1.2,0.00,1.01,1016.450
149,12/24/2020 06:40:01 午後,1.2,0.00,1.01,1016.650
150,12/24/2020 06:50:01 午後,1.2,0.00,1.01,1016.550
151,12/24/2020 07:00:01 午後,1.2,0.00,1.01,1016.550
152,12/24/2020 07:10:01 午後,1.2,0.00,0.50,1016.650
153,12/24/2020 07:20:01 午後,1.2,0.00,1.01,1016.650
154,12/24/2020 07:30:01 午後,1.2,0.00,1.51,1016.650
155,12/24/2020 07:40:01 午後,1.2,0.00,2.01,1016.750
156,12/24/2020 07:50:01 午後,1.2,0.00,1.01,1017.050
157,12/24/2020 08:00:01 午後,1.2,0.00,2.01,1017.250
158,12/24/2020 08:10:01 午後,1.2,0.00,2.01,1017.450
159,12/24/2020 08:20:01 午後,1.2,0.00,1.51,1017.450
160,12/24/2020 08:30:01 午後,1.2,0.00,1.51,1017.750
161,12/24/2020 08:40:01 午後,1.2,0.00,2.01,1017.750
162,12/24/2020 08:50:01 午後,1.2,0.00,1.51,1017.550
163,12/24/2020 09:00:01 午後,1.2,0.50,3.02,1017.750
164,12/24/2020 09:10:01 午後,1.2,0.00,2.52,1017.550
165,12/24/2020 09:20:01 午後,1.2,0.50,2.52,1017.450
166,12/24/2020 09:30:01 午後,1.2,0.50,2.52,1017.550
167,12/24/2020 09:40:01 午後,1.2,0.00,1.51,1017.450
168,12/24/2020 09:50:01 午後,1.2,0.50,2.01,1017.550
169,12/24/2020 10:00:01 午後,1.2,0.00,1.51,1017.650
170,12/24/2020 10:10:01 午後,1.2,0.00,1.51,1017.350
171,12/24/2020 10:20:01 午後,1.2,0.00,1.01,1017.450
172,12/24/2020 10:30:01 午後,1.2,0.50,2.01,1017.450
173,12/24/2020 10:40:01 午後,1.2,0.00,2.01,1017.650
174,12/24/2020 10:50:01 午後,1.2,0.00,1.01,1017.450
175,12/24/2020 11:00:01 午後,1.2,0.00,1.01,1017.350
176,12/24/2020 11:10:01 午後,1.2,0.00,1.01,1017.450
177,12/24/2020 11:20:01 午後,1.2,0.00,1.51,1017.650
178,12/24/2020 11:30:01 午後,1.2,0.00,1.51,1017.650
179,12/24/2020 11:40:01 午後,1.2,0.00,2.52,1017.550
180,12/24/2020 11:50:01 午後,1.2,0.00,2.01,1017.750
181,12/25/2020 12:00:01 午前,1.2,0.00,1.51,1017.550
182,12/25/2020 12:10:01 午前,1.2,0.00,4.03,1017.750
183,12/25/2020 12:20:01 午前,1.2,0.50,2.52,1017.750
184,12/25/2020 12:30:01 午前,1.2,0.50,3.02,1017.550
185,12/25/2020 12:40:01 午前,1.2,0.50,3.02,1017.450
186,12/25/2020 12:50:01 午前,1.2,1.51,5.54,1017.450
187,12/25/2020 01:00:01 午前,1.2,0.50,2.52,1017.550
188,12/25/2020 01:10:01 午前,1.2,1.51,4.53,1017.550
189,12/25/2020 01:20:01 午前,1.2,1.01,3.52,1017.650
190,12/25/2020 01:30:01 午前,1.2,0.50,3.02,1017.650
191,12/25/2020 01:40:01 午前,1.2,0.50,3.52,1017.650
192,12/25/2020 01:50:01 午前,1.2,0.50,4.53,1017.850
193,12/25/2020 02:00:01 午前,1.2,1.01,3.52,1018.150
194,12/25/2020 02:10:01 午前,1.2,1.01,5.03,1018.150
195,12/25/2020 02:20:01 午前,1.2,1.51,4.03,1018.450
196,12/25/2020 02:30:01 午前,1.2,1.51,7.05,1018.650
197,12/25/2020 02:40:01 午前,1.2,2.52,6.04,1018.950
198,12/25/2020 02:50:01 午前,1.2,2.01,5.54,1018.950
199,12/25/2020 03:00:01 午前,1.2,2.01,5.54,1018.950
200,12/25/2020 03:10:01 午前,1.2,2.01,5.03,1019.250
201,12/25/2020 03:20:01 午前,1.2,0.50,4.03,1019.250
202,12/25/2020 03:30:01 午前,1.2,1.01,3.52,1019.050
203,12/25/2020 03:40:01 午前,1.2,1.51,5.03,1019.450
204,12/25/2020 03:50:01 午前,1.2,0.50,3.52,1019.550
205,12/25/2020 04:00:01 午前,1.2,0.00,3.02,1019.550
206,12/25/2020 04:10:01 午前,1.2,1.01,5.54,1019.550
207,12/25/2020 04:20:01 午前,1.2,0.00,2.52,1019.650
208,12/25/2020 04:30:01 午前,1.2,1.01,7.05,1019.650
209,12/25/2020 04:40:01 午前,1.2,1.01,4.53,1019.650
210,12/25/2020 04:50:01 午前,1.2,1.01,3.52,1019.650
211,12/25/2020 05:00:01 午前,1.2,1.01,3.52,1019.850
212,12/25/2020 05:10:01 午前,1.2,1.01,3.52,1019.850
213,12/25/2020 05:20:01 午前,1.2,0.50,4.53,1020.150
214,12/25/2020 05:30:01 午前,1.2,1.01,3.02,1020.250
215,12/25/2020 05:40:01 午前,1.2,1.01,3.52,1020.550
216,12/25/2020 05:50:01 午前,1.2,2.01,5.03,1020.750
217,12/25/2020 06:00:01 午前,1.2,1.51,3.52,1020.850
218,12/25/2020 06:10:01 午前,1.2,1.01,3.52,1020.950
219,12/25/2020 06:20:01 午前,1.2,1.01,3.52,1021.150
220,12/25/2020 06:30:01 午前,1.2,1.01,4.03,1021.450
221,12/25/2020 06:40:01 午前,1.2,1.51,4.03,1021.350
222,12/25/2020 06:50:01 午前,1.2,1.01,4.53,1021.650
223,12/25/2020 07:00:01 午前,1.2,1.01,3.02,1021.450
224,12/25/2020 07:10:01 午前,1.2,1.01,5.03,1021.850
225,12/25/2020 07:20:01 午前,6.2,1.51,5.03,1021.950
226,12/25/2020 07:30:01 午前,21.2,1.01,3.52,1021.950
227,12/25/2020 07:40:01 午前,38.7,1.01,3.52,1021.950
228,12/25/2020 07:50:01 午前,48.7,0.50,2.52,1022.050
229,12/25/2020 08:00:01 午前,76.2,1.01,4.53,1022.250
230,12/25/2020 08:10:01 午前,108.7,1.01,3.02,1022.450
231,12/25/2020 08:20:01 午前,136.2,1.51,6.04,1022.550
232,12/25/2020 08:30:01 午前,146.2,1.51,5.54,1022.450
233,12/25/2020 08:40:01 午前,376.2,1.01,4.03,1022.550
234,12/25/2020 08:50:01 午前,463.7,0.50,2.01,1022.450
235,12/25/2020 09:00:01 午前,181.2,1.51,4.03,1022.750
236,12/25/2020 09:10:01 午前,216.2,1.01,4.03,1022.550
237,12/25/2020 09:20:01 午前,178.7,1.01,3.52,1022.850
238,12/25/2020 09:30:01 午前,93.7,1.01,5.54,1022.950
239,12/25/2020 09:40:01 午前,106.2,0.50,3.52,1022.950
240,12/25/2020 09:50:01 午前,273.7,0.50,2.52,1023.150
241,12/25/2020 10:00:01 午前,151.2,0.50,3.02,1023.250
242,12/25/2020 10:10:01 午前,293.7,0.50,2.52,1022.950
243,12/25/2020 10:20:01 午前,993.7,2.01,4.53,1022.550
244,12/25/2020 10:30:01 午前,331.2,1.51,4.03,1022.750
245,12/25/2020 10:40:01 午前,348.7,1.01,4.53,1022.550
246,12/25/2020 10:50:01 午前,401.2,1.01,4.03,1022.650
247,12/25/2020 11:00:01 午前,393.7,1.01,3.52,1022.750
248,12/25/2020 11:10:01 午前,443.7,2.01,5.03,1022.750
249,12/25/2020 11:20:01 午前,288.7,1.01,4.53,1022.950
250,12/25/2020 11:30:01 午前,351.2,1.51,4.53,1022.450
251,12/25/2020 11:40:01 午前,581.2,2.52,4.53,1022.350
252,12/25/2020 11:50:01 午前,243.7,1.51,4.53,1022.450
253,12/25/2020 12:00:01 午後,343.7,1.01,5.03,1022.350
254,12/25/2020 12:10:01 午後,433.7,0.50,3.02,1022.250
255,12/25/2020 12:20:01 午後,451.2,0.50,3.02,1022.150
256,12/25/2020 12:30:01 午後,278.7,2.01,4.53,1022.350
257,12/25/2020 12:40:01 午後,431.2,2.01,5.54,1022.150
258,12/25/2020 12:50:01 午後,358.7,2.52,4.53,1022.250
259,12/25/2020 01:00:01 午後,353.7,2.01,5.54,1022.350
260,12/25/2020 01:10:01 午後,298.7,2.52,6.54,1022.250
261,12/25/2020 01:20:01 午後,296.2,2.01,4.53,1022.050
262,12/25/2020 01:30:01 午後,373.7,2.01,5.03,1021.950
263,12/25/2020 01:40:01 午後,1221.2,2.52,5.54,1021.850
264,12/25/2020 01:50:01 午後,348.7,2.52,5.54,1021.850
265,12/25/2020 02:00:01 午後,348.7,1.51,4.53,1021.950
266,12/25/2020 02:10:01 午後,366.2,2.01,6.04,1021.850
267,12/25/2020 02:20:01 午後,738.7,2.01,4.53,1021.750
268,12/25/2020 02:30:01 午後,321.2,3.02,6.04,1021.850
269,12/25/2020 02:40:01 午後,276.2,2.01,5.54,1021.650
270,12/25/2020 02:50:01 午後,251.2,2.01,5.03,1021.850
271,12/25/2020 03:00:01 午後,266.2,1.51,4.03,1021.950
272,12/25/2020 03:10:01 午後,231.2,2.01,5.03,1021.950
273,12/25/2020 03:20:01 午後,143.7,1.51,4.53,1022.150
274,12/25/2020 03:30:01 午後,178.7,2.01,5.03,1022.350
275,12/25/2020 03:40:01 午後,208.7,2.01,5.03,1022.150
276,12/25/2020 03:50:01 午後,236.2,1.01,3.02,1022.250
277,12/25/2020 04:00:01 午後,131.2,1.51,3.52,1022.450
278,12/25/2020 04:10:01 午後,118.7,1.51,3.52,1022.350
279,12/25/2020 04:20:01 午後,111.2,1.51,4.03,1022.450
280,12/25/2020 04:30:01 午後,96.2,1.01,3.52,1022.450
281,12/25/2020 04:40:01 午後,68.7,1.01,4.03,1022.450
282,12/25/2020 04:50:01 午後,61.2,1.01,3.02,1022.550
283,12/25/2020 05:00:01 午後,38.7,1.01,3.52,1022.650
284,12/25/2020 05:10:01 午後,23.7,1.01,4.03,1022.850
285,12/25/2020 05:20:01 午後,11.2,1.01,3.52,1022.950
286,12/25/2020 05:30:01 午後,1.2,0.50,3.02,1023.050
287,12/25/2020 05:40:01 午後,1.2,0.50,3.02,1023.050
288,12/25/2020 05:50:01 午後,1.2,0.00,2.01,1023.150
289,12/25/2020 06:00:01 午後,1.2,1.01,4.03,1023.250
290,12/25/2020 06:10:01 午後,1.2,1.01,3.52,1023.450
291,12/25/2020 06:20:01 午後,1.2,0.50,3.02,1023.450
292,12/25/2020 06:30:01 午後,1.2,0.50,3.02,1023.650
293,12/25/2020 06:40:01 午後,1.2,0.00,1.51,1023.650
294,12/25/2020 06:50:01 午後,1.2,0.00,1.01,1023.650
295,12/25/2020 07:00:01 午後,1.2,0.00,1.01,1023.650
296,12/25/2020 07:10:01 午後,1.2,0.00,1.01,1023.750
297,12/25/2020 07:20:01 午後,1.2,0.00,0.50,1023.650
298,12/25/2020 07:30:01 午後,1.2,0.00,1.01,1023.950
299,12/25/2020 07:40:01 午後,1.2,0.00,1.01,1024.050
300,12/25/2020 07:50:01 午後,1.2,0.00,1.51,1024.250
301,12/25/2020 08:00:01 午後,1.2,0.00,1.01,1024.250
302,12/25/2020 08:10:01 午後,1.2,0.00,1.51,1024.450
303,12/25/2020 08:20:01 午後,1.2,0.00,1.51,1024.650
304,12/25/2020 08:30:01 午後,1.2,0.00,1.01,1024.650
305,12/25/2020 08:40:01 午後,1.2,0.00,1.01,1024.950
306,12/25/2020 08:50:01 午後,1.2,0.00,0.50,1024.850
307,12/25/2020 09:00:01 午後,1.2,0.00,1.51,1024.950
308,12/25/2020 09:10:01 午後,1.2,0.00,1.51,1025.150
309,12/25/2020 09:20:01 午後,1.2,0.00,1.51,1025.050
310,12/25/2020 09:30:01 午後,1.2,0.00,1.01,1025.150
311,12/25/2020 09:40:01 午後,1.2,0.00,1.51,1025.150
312,12/25/2020 09:50:01 午後,1.2,0.00,1.51,1025.250
313,12/25/2020 10:00:01 午後,1.2,0.00,1.01,1025.150
314,12/25/2020 10:10:01 午後,1.2,0.00,0.50,1025.050
315,12/25/2020 10:20:01 午後,1.2,0.00,1.01,1025.050
316,12/25/2020 10:30:01 午後,1.2,0.00,1.51,1025.250
317,12/25/2020 10:40:01 午後,1.2,0.00,1.01,1025.250
318,12/25/2020 10:50:01 午後,1.2,0.00,1.51,1025.150
319,12/25/2020 11:00:01 午後,1.2,0.00,1.01,1024.950
320,12/25/2020 11:10:01 午後,1.2,0.00,1.01,1024.950
321,12/25/2020 11:20:01 午後,1.2,0.00,1.01,1024.950
322,12/25/2020 11:30:01 午後,1.2,0.00,1.01,1025.150
323,12/25/2020 11:40:01 午後,1.2,0.00,1.51,1024.950
324,12/25/2020 11:50:01 午後,1.2,0.00,1.01,1024.850
325,12/26/2020 12:00:01 午前,1.2,0.00,1.01,1024.950
326,12/26/2020 12:10:01 午前,1.2,0.00,2.52,1024.650
327,12/26/2020 12:20:01 午前,1.2,0.00,2.01,1024.750
328,12/26/2020 12:30:01 午前,1.2,0.50,2.52,1024.550
329,12/26/2020 12:40:01 午前,1.2,0.00,1.01,1024.550
330,12/26/2020 12:50:01 午前,1.2,0.00,1.51,1024.450
331,12/26/2020 01:00:01 午前,1.2,0.00,0.50,1024.750
332,12/26/2020 01:10:01 午前,1.2,0.00,0.00,1024.750
333,12/26/2020 01:20:01 午前,1.2,0.00,1.01,1024.650
334,12/26/2020 01:30:01 午前,1.2,0.00,0.50,1024.850
335,12/26/2020 01:40:01 午前,1.2,0.00,0.50,1024.950
336,12/26/2020 01:50:01 午前,1.2,0.00,0.50,1024.950
337,12/26/2020 02:00:01 午前,1.2,0.00,0.00,1025.050
338,12/26/2020 02:10:01 午前,1.2,0.00,0.50,1025.150
339,12/26/2020 02:20:01 午前,1.2,0.00,1.01,1025.350
340,12/26/2020 02:30:01 午前,1.2,0.00,0.50,1025.350
341,12/26/2020 02:40:01 午前,1.2,0.00,0.00,1025.450
342,12/26/2020 02:50:01 午前,1.2,0.00,1.51,1025.350
343,12/26/2020 03:00:01 午前,1.2,0.00,1.01,1025.550
344,12/26/2020 03:10:01 午前,1.2,0.00,1.01,1025.750
345,12/26/2020 03:20:01 午前,1.2,0.00,0.50,1025.750
346,12/26/2020 03:30:01 午前,1.2,0.00,0.50,1025.750
347,12/26/2020 03:40:01 午前,1.2,0.00,1.01,1025.550
348,12/26/2020 03:50:01 午前,1.2,0.00,1.51,1025.550
349,12/26/2020 04:00:01 午前,1.2,0.00,1.01,1025.550
350,12/26/2020 04:10:01 午前,1.2,0.00,0.50,1025.650
351,12/26/2020 04:20:01 午前,1.2,0.00,0.50,1025.950
352,12/26/2020 04:30:01 午前,1.2,0.00,0.50,1025.950
353,12/26/2020 04:40:01 午前,1.2,0.00,0.50,1025.850
354,12/26/2020 04:50:01 午前,1.2,0.00,0.50,1025.950
355,12/26/2020 05:00:01 午前,1.2,0.00,1.01,1025.850
356,12/26/2020 05:10:01 午前,1.2,0.00,0.50,1025.850
357,12/26/2020 05:20:01 午前,1.2,0.00,1.01,1025.950
358,12/26/2020 05:30:01 午前,1.2,0.00,1.51,1026.150
359,12/26/2020 05:40:01 午前,1.2,0.00,0.50,1025.950
360,12/26/2020 05:50:01 午前,1.2,0.00,1.01,1026.250
361,12/26/2020 06:00:01 午前,1.2,0.00,1.51,1026.150
362,12/26/2020 06:10:01 午前,1.2,0.00,1.01,1025.950
363,12/26/2020 06:20:01 午前,1.2,0.00,0.50,1026.050
364,12/26/2020 06:30:01 午前,1.2,0.00,1.01,1026.150
365,12/26/2020 06:40:01 午前,1.2,0.00,2.01,1026.350
366,12/26/2020 06:50:01 午前,1.2,0.00,2.01,1026.550
367,12/26/2020 07:00:01 午前,1.2,0.00,1.01,1026.350
368,12/26/2020 07:10:01 午前,1.2,0.00,0.50,1026.250
369,12/26/2020 07:20:01 午前,6.2,0.00,0.50,1026.450
370,12/26/2020 07:30:01 午前,21.2,0.00,0.50,1026.650
371,12/26/2020 07:40:01 午前,41.2,0.00,1.01,1026.650
372,12/26/2020 07:50:01 午前,51.2,0.00,1.01,1026.650
373,12/26/2020 08:00:01 午前,83.7,0.00,1.01,1026.750
374,12/26/2020 08:10:01 午前,88.7,0.00,1.51,1026.850
375,12/26/2020 08:20:01 午前,91.2,0.00,2.52,1026.850
376,12/26/2020 08:30:01 午前,136.2,0.00,1.51,1026.950
377,12/26/2020 08:40:01 午前,198.7,0.00,2.01,1026.750
378,12/26/2020 08:50:01 午前,273.7,0.00,2.52,1026.750
379,12/26/2020 09:00:01 午前,303.7,0.50,4.03,1026.650
380,12/26/2020 09:10:01 午前,303.7,0.50,2.52,1026.750
381,12/26/2020 09:20:01 午前,296.2,0.50,2.01,1026.950
382,12/26/2020 09:30:01 午前,278.7,0.50,2.01,1027.050
383,12/26/2020 09:40:01 午前,326.2,0.50,2.52,1027.050
384,12/26/2020 09:50:01 午前,396.2,0.50,2.52,1026.950
385,12/26/2020 10:00:01 午前,363.7,0.50,2.52,1027.150
386,12/26/2020 10:10:01 午前,453.7,0.50,2.52,1027.050
387,12/26/2020 10:20:01 午前,426.2,0.50,2.52,1027.150
388,12/26/2020 10:30:01 午前,701.2,0.00,2.52,1026.950
389,12/26/2020 10:40:01 午前,348.7,0.00,1.51,1027.050
390,12/26/2020 10:50:01 午前,363.7,0.00,1.01,1026.950
391,12/26/2020 11:00:01 午前,576.2,0.00,1.51,1026.850
392,12/26/2020 11:10:01 午前,503.7,0.00,0.00,1026.750
393,12/26/2020 11:20:01 午前,641.2,0.00,1.01,1026.650
394,12/26/2020 11:30:01 午前,626.2,0.00,1.01,1026.550
395,12/26/2020 11:40:01 午前,541.2,0.00,1.51,1026.450
