"プロット タイトル: Microstation_00_ecser_surface_201007"
"#","日付 時間, GMT+09:00","PAR, uE","風速, m/s","突風の速さ, m/s","圧力, mbar"
220,10/09/2020 02:30:01 午前,1.2,3.02,9.06,1014.550
221,10/09/2020 02:40:01 午前,1.2,3.52,10.57,1014.050
222,10/09/2020 02:50:01 午前,1.2,3.52,9.56,1014.150
223,10/09/2020 03:00:01 午前,1.2,4.03,9.06,1013.950
224,10/09/2020 03:10:01 午前,1.2,4.03,9.56,1014.150
225,10/09/2020 03:20:01 午前,1.2,5.03,11.07,1013.850
226,10/09/2020 03:30:01 午前,1.2,4.03,9.06,1014.050
227,10/09/2020 03:40:01 午前,1.2,3.52,9.06,1013.950
228,10/09/2020 03:50:01 午前,1.2,3.52,10.07,1013.950
229,10/09/2020 04:00:01 午前,1.2,3.02,9.06,1013.850
230,10/09/2020 04:10:01 午前,1.2,3.52,8.56,1013.650
231,10/09/2020 04:20:01 午前,1.2,3.02,8.56,1013.450
232,10/09/2020 04:30:01 午前,1.2,3.52,9.06,1013.250
233,10/09/2020 04:40:01 午前,1.2,3.02,9.06,1013.250
234,10/09/2020 04:50:01 午前,1.2,3.52,9.06,1012.950
235,10/09/2020 05:00:01 午前,1.2,3.52,9.06,1013.150
236,10/09/2020 05:10:01 午前,1.2,4.03,10.57,1013.450
237,10/09/2020 05:20:01 午前,1.2,3.52,10.07,1013.050
238,10/09/2020 05:30:01 午前,1.2,2.52,9.56,1013.550
239,10/09/2020 05:40:01 午前,1.2,2.52,6.54,1013.750
240,10/09/2020 05:50:01 午前,1.2,2.52,8.05,1014.050
241,10/09/2020 06:00:01 午前,1.2,2.01,6.54,1014.050
242,10/09/2020 06:10:01 午前,1.2,1.01,5.03,1014.350
243,10/09/2020 06:20:01 午前,6.2,2.01,5.54,1014.350
244,10/09/2020 06:30:01 午前,21.2,1.01,7.55,1014.450
245,10/09/2020 06:40:01 午前,36.2,2.52,7.55,1014.450
246,10/09/2020 06:50:01 午前,56.2,2.52,8.56,1014.350
247,10/09/2020 07:00:01 午前,71.2,3.02,7.55,1014.650
248,10/09/2020 07:10:01 午前,76.2,2.01,9.56,1014.550
249,10/09/2020 07:20:01 午前,83.7,3.02,10.07,1014.350
250,10/09/2020 07:30:01 午前,118.7,2.52,7.05,1014.350
251,10/09/2020 07:40:01 午前,123.7,2.01,5.54,1014.450
252,10/09/2020 07:50:01 午前,141.2,1.51,6.54,1014.550
253,10/09/2020 08:00:01 午前,166.2,2.52,8.05,1014.450
254,10/09/2020 08:10:01 午前,243.7,1.51,5.54,1014.450
255,10/09/2020 08:20:01 午前,371.2,1.51,5.03,1014.250
256,10/09/2020 08:30:01 午前,261.2,1.51,7.05,1014.850
257,10/09/2020 08:40:01 午前,238.7,1.51,5.54,1014.850
258,10/09/2020 08:50:01 午前,248.7,1.51,4.53,1014.950
259,10/09/2020 09:00:01 午前,1086.2,1.51,5.03,1014.750
260,10/09/2020 09:10:01 午前,1216.2,1.01,4.53,1014.750
261,10/09/2020 09:20:01 午前,366.2,1.51,6.54,1014.850
262,10/09/2020 09:30:01 午前,1263.7,1.51,5.03,1014.550
263,10/09/2020 09:40:01 午前,1316.2,2.01,6.04,1014.450
264,10/09/2020 09:50:01 午前,1456.2,1.51,6.54,1014.250
265,10/09/2020 10:00:01 午前,531.2,1.51,5.54,1014.350
266,10/09/2020 10:10:01 午前,656.2,1.01,4.53,1014.350
267,10/09/2020 10:20:01 午前,646.2,1.01,6.54,1014.350
268,10/09/2020 10:30:01 午前,963.7,1.51,4.53,1014.150
269,10/09/2020 10:40:01 午前,708.7,2.52,6.04,1014.150
270,10/09/2020 10:50:01 午前,936.2,2.01,6.04,1014.050
271,10/09/2020 11:00:01 午前,953.7,2.01,6.04,1013.750
272,10/09/2020 11:10:01 午前,1231.2,2.01,6.54,1013.550
273,10/09/2020 11:20:01 午前,1221.2,2.01,6.04,1013.450
274,10/09/2020 11:30:01 午前,768.7,2.01,6.04,1013.450
275,10/09/2020 11:40:01 午前,1968.7,2.52,7.55,1013.450
276,10/09/2020 11:50:01 午前,2038.7,2.52,8.05,1013.450
277,10/09/2020 12:00:01 午後,1916.2,3.02,8.56,1013.050
278,10/09/2020 12:10:01 午後,1186.2,3.02,8.05,1013.050
279,10/09/2020 12:20:01 午後,1136.2,2.01,7.05,1013.050
280,10/09/2020 12:30:01 午後,1016.2,3.02,6.54,1012.950
281,10/09/2020 12:40:01 午後,846.2,2.52,7.05,1012.850
282,10/09/2020 12:50:01 午後,826.2,2.52,8.05,1012.850
283,10/09/2020 01:00:01 午後,1516.2,2.52,7.05,1012.650
284,10/09/2020 01:10:01 午後,1756.2,2.01,6.04,1012.550
285,10/09/2020 01:20:01 午後,911.2,2.52,8.05,1012.650
286,10/09/2020 01:30:01 午後,2081.2,1.51,5.54,1012.550
287,10/09/2020 01:40:01 午後,1286.2,1.51,4.53,1012.550
288,10/09/2020 01:50:01 午後,923.7,1.51,5.03,1012.450
289,10/09/2020 02:00:01 午後,896.2,1.51,5.03,1012.350
290,10/09/2020 02:10:01 午後,761.2,2.52,5.54,1012.250
291,10/09/2020 02:20:01 午後,773.7,2.01,6.04,1012.150
292,10/09/2020 02:30:01 午後,758.7,1.51,5.54,1012.350
293,10/09/2020 02:40:01 午後,683.7,1.51,6.04,1012.450
294,10/09/2020 02:50:01 午後,676.2,2.52,6.04,1012.350
295,10/09/2020 03:00:01 午後,666.2,1.51,8.05,1012.250
296,10/09/2020 03:10:01 午後,568.7,2.01,5.03,1012.150
297,10/09/2020 03:20:01 午後,493.7,2.01,6.54,1012.350
298,10/09/2020 03:30:01 午後,596.2,2.01,5.54,1012.350
299,10/09/2020 03:40:01 午後,573.7,2.01,6.54,1012.350
300,10/09/2020 03:50:01 午後,491.2,2.52,6.54,1012.550
301,10/09/2020 04:00:01 午後,791.2,2.52,6.54,1012.550
302,10/09/2020 04:10:01 午後,361.2,2.52,8.56,1012.550
303,10/09/2020 04:20:01 午後,221.2,2.01,7.55,1012.850
304,10/09/2020 04:30:01 午後,196.2,2.52,5.54,1012.850
305,10/09/2020 04:40:01 午後,126.2,2.52,7.55,1012.950
306,10/09/2020 04:50:01 午後,128.7,1.51,5.54,1012.850
307,10/09/2020 05:00:01 午後,121.2,2.01,7.55,1012.950
308,10/09/2020 05:10:01 午後,83.7,1.01,4.53,1012.950
309,10/09/2020 05:20:01 午後,63.7,2.52,7.05,1012.950
310,10/09/2020 05:30:01 午後,41.2,2.01,6.04,1013.150
311,10/09/2020 05:40:01 午後,26.2,2.52,7.05,1013.650
312,10/09/2020 05:50:01 午後,8.7,1.51,5.54,1013.450
313,10/09/2020 06:00:01 午後,1.2,2.01,5.54,1013.650
314,10/09/2020 06:10:01 午後,1.2,1.01,4.53,1013.850
315,10/09/2020 06:20:01 午後,1.2,1.51,6.04,1013.750
316,10/09/2020 06:30:01 午後,1.2,2.01,5.03,1013.950
317,10/09/2020 06:40:01 午後,1.2,2.01,5.03,1013.950
318,10/09/2020 06:50:01 午後,1.2,1.51,5.54,1014.350
319,10/09/2020 07:00:01 午後,1.2,2.01,6.54,1014.550
320,10/09/2020 07:10:01 午後,1.2,2.01,6.04,1014.250
321,10/09/2020 07:20:01 午後,1.2,2.01,6.54,1014.350
322,10/09/2020 07:30:01 午後,1.2,3.02,7.55,1014.050
323,10/09/2020 07:40:01 午後,1.2,3.02,6.04,1014.150
324,10/09/2020 07:50:01 午後,1.2,2.52,8.05,1013.950
325,10/09/2020 08:00:01 午後,1.2,3.02,7.55,1013.850
326,10/09/2020 08:10:01 午後,1.2,2.52,7.55,1014.150
327,10/09/2020 08:20:01 午後,1.2,2.52,7.55,1014.250
328,10/09/2020 08:30:01 午後,1.2,2.52,6.54,1013.950
329,10/09/2020 08:40:01 午後,1.2,2.52,6.54,1014.150
330,10/09/2020 08:50:01 午後,1.2,3.02,7.05,1014.150
331,10/09/2020 09:00:01 午後,1.2,2.01,7.05,1014.050
332,10/09/2020 09:10:01 午後,1.2,2.01,5.54,1014.050
333,10/09/2020 09:20:01 午後,1.2,2.01,6.54,1014.150
334,10/09/2020 09:30:01 午後,1.2,1.51,5.54,1013.950
335,10/09/2020 09:40:01 午後,1.2,1.51,4.53,1014.050
336,10/09/2020 09:50:01 午後,1.2,1.01,3.52,1014.250
337,10/09/2020 10:00:01 午後,1.2,1.51,4.53,1014.050
338,10/09/2020 10:10:01 午後,1.2,2.01,5.54,1013.850
339,10/09/2020 10:20:01 午後,1.2,1.51,6.04,1014.050
340,10/09/2020 10:30:01 午後,1.2,1.51,4.53,1014.150
341,10/09/2020 10:40:01 午後,1.2,1.51,4.53,1014.250
342,10/09/2020 10:50:01 午後,1.2,2.01,6.04,1014.050
343,10/09/2020 11:00:01 午後,1.2,1.51,5.03,1014.250
344,10/09/2020 11:10:01 午後,1.2,2.01,8.05,1013.950
345,10/09/2020 11:20:01 午後,1.2,1.51,5.54,1013.850
346,10/09/2020 11:30:01 午後,1.2,1.51,5.03,1013.650
347,10/09/2020 11:40:01 午後,1.2,1.01,4.03,1013.850
348,10/09/2020 11:50:01 午後,1.2,2.01,6.04,1013.950
349,10/10/2020 12:00:01 午前,1.2,2.01,6.54,1013.750
350,10/10/2020 12:10:01 午前,1.2,2.01,6.54,1013.750
351,10/10/2020 12:20:01 午前,1.2,1.51,5.54,1013.750
352,10/10/2020 12:30:01 午前,1.2,1.51,4.03,1013.650
353,10/10/2020 12:40:01 午前,1.2,1.51,5.54,1013.750
354,10/10/2020 12:50:01 午前,1.2,2.01,5.54,1013.850
355,10/10/2020 01:00:01 午前,1.2,1.01,4.53,1013.750
356,10/10/2020 01:10:01 午前,1.2,1.51,5.54,1013.650
357,10/10/2020 01:20:01 午前,1.2,1.51,5.03,1013.650
358,10/10/2020 01:30:01 午前,1.2,1.51,5.54,1013.550
359,10/10/2020 01:40:01 午前,1.2,1.51,5.54,1013.550
360,10/10/2020 01:50:01 午前,1.2,1.51,5.03,1013.450
361,10/10/2020 02:00:01 午前,1.2,1.51,4.53,1013.450
362,10/10/2020 02:10:01 午前,1.2,1.51,5.03,1013.450
363,10/10/2020 02:20:01 午前,1.2,1.01,3.52,1013.250
364,10/10/2020 02:30:01 午前,1.2,1.51,5.03,1013.250
365,10/10/2020 02:40:01 午前,1.2,2.01,5.03,1013.150
366,10/10/2020 02:50:01 午前,1.2,2.52,6.04,1012.950
367,10/10/2020 03:00:01 午前,1.2,2.01,6.04,1012.950
368,10/10/2020 03:10:01 午前,1.2,2.52,6.54,1012.850
369,10/10/2020 03:20:01 午前,1.2,2.01,6.04,1012.850
370,10/10/2020 03:30:01 午前,1.2,1.51,6.04,1012.850
371,10/10/2020 03:40:01 午前,1.2,1.01,4.53,1012.850
372,10/10/2020 03:50:01 午前,1.2,1.51,4.53,1012.750
373,10/10/2020 04:00:01 午前,1.2,1.01,4.53,1012.850
374,10/10/2020 04:10:01 午前,1.2,1.01,3.52,1012.950
375,10/10/2020 04:20:01 午前,1.2,1.01,4.53,1012.950
376,10/10/2020 04:30:01 午前,1.2,0.50,3.52,1013.050
377,10/10/2020 04:40:01 午前,1.2,1.51,5.54,1013.050
378,10/10/2020 04:50:01 午前,1.2,1.01,5.03,1013.250
379,10/10/2020 05:00:01 午前,1.2,1.01,4.53,1013.250
380,10/10/2020 05:10:01 午前,1.2,0.50,3.52,1013.450
381,10/10/2020 05:20:01 午前,1.2,0.50,2.52,1013.650
382,10/10/2020 05:30:01 午前,1.2,0.00,2.01,1013.750
383,10/10/2020 05:40:01 午前,1.2,0.00,1.51,1013.850
384,10/10/2020 05:50:01 午前,1.2,0.00,1.01,1013.850
385,10/10/2020 06:00:01 午前,1.2,0.00,1.51,1014.050
386,10/10/2020 06:10:01 午前,1.2,1.01,3.52,1014.150
387,10/10/2020 06:20:01 午前,6.2,0.00,2.01,1014.050
388,10/10/2020 06:30:01 午前,21.2,0.50,3.02,1014.050
389,10/10/2020 06:40:01 午前,41.2,1.01,3.52,1013.950
390,10/10/2020 06:50:01 午前,73.7,1.01,4.53,1014.050
391,10/10/2020 07:00:01 午前,83.7,1.51,4.03,1013.950
392,10/10/2020 07:10:01 午前,113.7,1.51,5.54,1014.150
393,10/10/2020 07:20:01 午前,131.2,1.51,6.54,1014.250
394,10/10/2020 07:30:01 午前,163.7,1.01,4.53,1014.350
