"プロット タイトル: Microstation_00_ecser_surface_201007"
"#","日付 時間, GMT+09:00","PAR, uE","風速, m/s","突風の速さ, m/s","圧力, mbar"
1,10/07/2020 02:00:01 午後,1351.2,2.52,7.55,1016.750
2,10/07/2020 02:10:01 午後,1301.2,2.52,6.04,1016.550
3,10/07/2020 02:20:01 午後,1253.7,1.51,4.53,1016.350
4,10/07/2020 02:30:01 午後,1206.2,2.01,6.54,1016.450
5,10/07/2020 02:40:01 午後,1153.7,1.51,4.53,1016.450
6,10/07/2020 02:50:01 午後,1106.2,2.52,7.55,1016.350
7,10/07/2020 03:00:01 午後,1046.2,1.51,5.03,1016.350
8,10/07/2020 03:10:01 午後,988.7,2.52,6.04,1016.350
9,10/07/2020 03:20:01 午後,931.2,3.02,6.04,1016.250
10,10/07/2020 03:30:01 午後,868.7,3.02,8.05,1016.150
11,10/07/2020 03:40:01 午後,801.2,1.51,4.53,1016.150
12,10/07/2020 03:50:01 午後,736.2,2.52,5.54,1016.050
13,10/07/2020 04:00:01 午後,666.2,2.01,6.54,1016.150
14,10/07/2020 04:10:01 午後,598.7,2.01,7.05,1016.150
15,10/07/2020 04:20:01 午後,528.7,1.51,6.54,1016.150
16,10/07/2020 04:30:01 午後,458.7,2.01,5.54,1015.950
17,10/07/2020 04:40:01 午後,391.2,2.01,6.54,1016.150
18,10/07/2020 04:50:01 午後,323.7,2.01,6.04,1016.150
19,10/07/2020 05:00:01 午後,261.2,1.51,5.03,1016.350
20,10/07/2020 05:10:01 午後,201.2,2.52,7.55,1016.550
21,10/07/2020 05:20:01 午後,136.2,2.52,7.05,1016.450
22,10/07/2020 05:30:01 午後,83.7,1.51,5.54,1016.750
23,10/07/2020 05:40:01 午後,46.2,1.51,5.54,1016.550
24,10/07/2020 05:50:01 午後,23.7,2.52,6.54,1016.550
25,10/07/2020 06:00:01 午後,8.7,2.01,6.54,1016.750
26,10/07/2020 06:10:01 午後,1.2,3.02,8.05,1016.750
27,10/07/2020 06:20:01 午後,1.2,2.52,7.55,1016.850
28,10/07/2020 06:30:01 午後,1.2,2.52,7.55,1016.750
29,10/07/2020 06:40:01 午後,1.2,3.02,6.54,1016.750
30,10/07/2020 06:50:01 午後,1.2,3.02,6.54,1016.950
31,10/07/2020 07:00:01 午後,1.2,3.02,7.55,1016.950
32,10/07/2020 07:10:01 午後,1.2,3.02,7.55,1016.750
33,10/07/2020 07:20:01 午後,1.2,2.52,8.05,1016.950
34,10/07/2020 07:30:01 午後,1.2,3.02,8.05,1017.050
35,10/07/2020 07:40:01 午後,1.2,3.02,7.55,1017.350
36,10/07/2020 07:50:01 午後,1.2,2.52,6.54,1017.250
37,10/07/2020 08:00:01 午後,1.2,3.02,7.05,1017.050
38,10/07/2020 08:10:01 午後,1.2,3.02,7.55,1017.250
39,10/07/2020 08:20:01 午後,1.2,3.02,7.05,1017.050
40,10/07/2020 08:30:01 午後,1.2,2.52,9.06,1017.250
41,10/07/2020 08:40:01 午後,1.2,3.02,8.05,1017.150
42,10/07/2020 08:50:01 午後,1.2,3.02,6.54,1017.350
43,10/07/2020 09:00:01 午後,1.2,3.02,7.55,1017.150
44,10/07/2020 09:10:01 午後,1.2,3.02,9.06,1017.350
45,10/07/2020 09:20:01 午後,1.2,3.02,7.05,1017.250
46,10/07/2020 09:30:01 午後,1.2,3.02,8.56,1017.350
47,10/07/2020 09:40:01 午後,1.2,2.52,6.04,1017.450
48,10/07/2020 09:50:01 午後,1.2,3.02,9.06,1017.350
49,10/07/2020 10:00:01 午後,1.2,2.52,7.05,1017.150
50,10/07/2020 10:10:01 午後,1.2,3.02,9.56,1017.450
51,10/07/2020 10:20:01 午後,1.2,3.02,7.05,1017.250
52,10/07/2020 10:30:01 午後,1.2,2.01,7.05,1017.350
53,10/07/2020 10:40:01 午後,1.2,2.52,7.05,1017.350
54,10/07/2020 10:50:01 午後,1.2,2.52,6.04,1017.250
55,10/07/2020 11:00:01 午後,1.2,2.52,6.54,1017.350
56,10/07/2020 11:10:01 午後,1.2,2.52,6.54,1017.250
57,10/07/2020 11:20:01 午後,1.2,2.52,5.54,1017.050
58,10/07/2020 11:30:01 午後,1.2,2.52,6.54,1016.850
59,10/07/2020 11:40:01 午後,1.2,2.52,6.04,1016.950
60,10/07/2020 11:50:01 午後,1.2,2.52,7.05,1016.950
61,10/08/2020 12:00:01 午前,1.2,3.52,8.56,1016.850
62,10/08/2020 12:10:01 午前,1.2,2.52,7.05,1016.950
63,10/08/2020 12:20:01 午前,1.2,3.02,8.05,1016.950
64,10/08/2020 12:30:01 午前,1.2,2.52,7.05,1016.650
65,10/08/2020 12:40:01 午前,1.2,2.52,6.54,1016.950
66,10/08/2020 12:50:01 午前,1.2,3.52,8.56,1016.750
67,10/08/2020 01:00:01 午前,1.2,3.52,8.56,1016.750
68,10/08/2020 01:10:01 午前,1.2,3.52,8.05,1016.550
69,10/08/2020 01:20:01 午前,1.2,3.02,7.05,1016.550
70,10/08/2020 01:30:01 午前,1.2,3.02,8.56,1016.450
71,10/08/2020 01:40:01 午前,1.2,2.52,5.03,1016.550
72,10/08/2020 01:50:01 午前,1.2,2.52,6.04,1016.350
73,10/08/2020 02:00:01 午前,1.2,2.01,5.03,1016.450
74,10/08/2020 02:10:01 午前,1.2,2.52,7.05,1016.250
75,10/08/2020 02:20:01 午前,1.2,2.52,6.54,1016.050
76,10/08/2020 02:30:01 午前,1.2,2.52,6.04,1016.050
77,10/08/2020 02:40:01 午前,1.2,2.01,6.04,1016.050
78,10/08/2020 02:50:01 午前,1.2,3.52,8.05,1016.050
79,10/08/2020 03:00:01 午前,1.2,3.02,8.05,1015.950
80,10/08/2020 03:10:01 午前,1.2,3.02,9.56,1015.850
81,10/08/2020 03:20:01 午前,1.2,3.02,8.56,1016.150
82,10/08/2020 03:30:01 午前,1.2,2.52,7.05,1015.950
83,10/08/2020 03:40:01 午前,1.2,2.52,9.06,1015.750
84,10/08/2020 03:50:01 午前,1.2,2.52,6.54,1015.850
85,10/08/2020 04:00:01 午前,1.2,3.52,10.07,1015.950
86,10/08/2020 04:10:01 午前,1.2,2.52,9.06,1015.750
87,10/08/2020 04:20:01 午前,1.2,2.52,7.05,1015.850
88,10/08/2020 04:30:01 午前,1.2,3.02,9.06,1015.850
89,10/08/2020 04:40:01 午前,1.2,3.52,9.56,1015.750
90,10/08/2020 04:50:01 午前,1.2,3.02,8.56,1015.950
91,10/08/2020 05:00:01 午前,1.2,3.52,7.55,1015.950
92,10/08/2020 05:10:01 午前,1.2,3.52,7.55,1016.350
93,10/08/2020 05:20:01 午前,1.2,3.52,9.06,1016.250
94,10/08/2020 05:30:01 午前,1.2,4.03,11.58,1016.050
95,10/08/2020 05:40:01 午前,1.2,4.03,9.56,1015.950
96,10/08/2020 05:50:01 午前,1.2,3.52,9.06,1015.950
97,10/08/2020 06:00:01 午前,1.2,4.03,11.07,1016.450
98,10/08/2020 06:10:01 午前,1.2,4.03,13.59,1015.950
99,10/08/2020 06:20:01 午前,1.2,4.53,10.07,1016.150
100,10/08/2020 06:30:01 午前,6.2,4.03,9.56,1015.750
101,10/08/2020 06:40:01 午前,13.7,4.53,11.07,1015.650
102,10/08/2020 06:50:01 午前,18.7,4.53,10.07,1015.850
103,10/08/2020 07:00:01 午前,23.7,5.03,10.57,1015.950
104,10/08/2020 07:10:01 午前,33.7,4.53,11.07,1015.950
105,10/08/2020 07:20:01 午前,73.7,4.03,10.57,1016.050
106,10/08/2020 07:30:01 午前,126.2,3.52,12.08,1016.050
107,10/08/2020 07:40:01 午前,221.2,4.03,9.56,1016.350
108,10/08/2020 07:50:01 午前,273.7,3.52,7.55,1016.250
109,10/08/2020 08:00:01 午前,291.2,4.03,8.56,1016.250
110,10/08/2020 08:10:01 午前,286.2,4.03,11.07,1015.950
111,10/08/2020 08:20:01 午前,328.7,2.52,7.55,1016.250
112,10/08/2020 08:30:01 午前,373.7,3.52,9.56,1015.750
113,10/08/2020 08:40:01 午前,431.2,4.03,10.07,1015.650
114,10/08/2020 08:50:01 午前,471.2,3.52,12.08,1015.550
115,10/08/2020 09:00:01 午前,508.7,4.03,10.07,1015.550
116,10/08/2020 09:10:01 午前,626.2,3.52,11.07,1015.450
117,10/08/2020 09:20:01 午前,896.2,4.53,11.07,1015.850
118,10/08/2020 09:30:01 午前,783.7,4.03,9.56,1015.750
119,10/08/2020 09:40:01 午前,1001.2,3.52,8.56,1015.750
120,10/08/2020 09:50:01 午前,883.7,3.02,9.06,1015.550
121,10/08/2020 10:00:01 午前,768.7,3.52,8.56,1015.550
122,10/08/2020 10:10:01 午前,1128.7,2.52,7.05,1015.650
123,10/08/2020 10:20:01 午前,1638.7,3.52,10.07,1015.550
124,10/08/2020 10:30:01 午前,2031.2,3.02,9.56,1015.350
125,10/08/2020 10:40:01 午前,1128.7,3.02,7.55,1015.450
126,10/08/2020 10:50:01 午前,1048.7,4.03,9.56,1015.350
127,10/08/2020 11:00:01 午前,1006.2,3.52,11.58,1015.150
128,10/08/2020 11:10:01 午前,833.7,4.03,10.07,1015.150
129,10/08/2020 11:20:01 午前,943.7,3.52,9.06,1015.150
130,10/08/2020 11:30:01 午前,681.2,3.52,10.07,1015.250
131,10/08/2020 11:40:01 午前,1738.7,4.03,9.56,1015.050
132,10/08/2020 11:50:01 午前,858.7,4.53,13.09,1014.950
133,10/08/2020 12:00:01 午後,713.7,4.53,11.07,1014.950
134,10/08/2020 12:10:01 午後,721.2,4.53,11.58,1014.950
135,10/08/2020 12:20:01 午後,1058.7,5.54,13.59,1014.750
136,10/08/2020 12:30:01 午後,1993.7,4.53,10.07,1014.550
137,10/08/2020 12:40:01 午後,1211.2,5.03,12.08,1014.450
138,10/08/2020 12:50:01 午後,1716.2,5.03,12.08,1014.550
139,10/08/2020 01:00:01 午後,973.7,6.54,15.60,1014.450
140,10/08/2020 01:10:01 午後,981.2,6.04,16.10,1014.450
141,10/08/2020 01:20:01 午後,1353.7,4.53,12.08,1013.850
142,10/08/2020 01:30:01 午後,1536.2,5.03,11.58,1015.550
143,10/08/2020 01:40:01 午後,1453.7,6.04,13.59,1013.550
144,10/08/2020 01:50:01 午後,1501.2,5.03,14.09,1013.250
145,10/08/2020 02:00:01 午後,293.7,4.53,12.08,1013.450
146,10/08/2020 02:10:01 午後,1361.2,4.53,11.58,1013.650
147,10/08/2020 02:20:01 午後,1298.7,6.04,12.58,1013.350
148,10/08/2020 02:30:01 午後,1246.2,4.53,13.09,1012.950
149,10/08/2020 02:40:01 午後,1183.7,5.03,12.08,1013.250
150,10/08/2020 02:50:01 午後,1231.2,5.54,13.09,1012.950
151,10/08/2020 03:00:01 午後,1228.7,3.52,10.57,1013.150
152,10/08/2020 03:10:01 午後,1128.7,4.03,10.57,1013.050
153,10/08/2020 03:20:01 午後,271.2,3.52,10.07,1013.150
154,10/08/2020 03:30:01 午後,908.7,3.02,10.57,1012.350
155,10/08/2020 03:40:01 午後,921.2,4.03,10.07,1012.950
156,10/08/2020 03:50:01 午後,853.7,4.03,10.07,1013.150
157,10/08/2020 04:00:01 午後,846.2,4.03,11.07,1012.750
158,10/08/2020 04:10:01 午後,738.7,4.03,10.07,1013.150
159,10/08/2020 04:20:01 午後,628.7,4.03,12.08,1012.950
160,10/08/2020 04:30:01 午後,481.2,5.54,17.11,1013.350
161,10/08/2020 04:40:01 午後,403.7,4.03,10.57,1012.750
162,10/08/2020 04:50:01 午後,343.7,3.52,10.57,1013.150
163,10/08/2020 05:00:01 午後,281.2,3.52,10.57,1013.050
164,10/08/2020 05:10:01 午後,216.2,3.02,9.56,1013.150
165,10/08/2020 05:20:01 午後,146.2,3.52,9.56,1013.450
166,10/08/2020 05:30:01 午後,88.7,4.53,11.07,1014.050
167,10/08/2020 05:40:01 午後,48.7,4.03,12.58,1013.650
168,10/08/2020 05:50:01 午後,23.7,3.02,10.07,1014.350
169,10/08/2020 06:00:01 午後,8.7,2.52,9.56,1014.450
170,10/08/2020 06:10:01 午後,1.2,2.01,9.56,1014.150
171,10/08/2020 06:20:01 午後,1.2,2.01,10.07,1014.450
172,10/08/2020 06:30:01 午後,1.2,2.01,6.04,1014.450
173,10/08/2020 06:40:01 午後,1.2,2.52,8.56,1014.650
174,10/08/2020 06:50:01 午後,1.2,3.02,9.06,1014.650
175,10/08/2020 07:00:01 午後,1.2,2.01,8.05,1014.850
176,10/08/2020 07:10:01 午後,1.2,1.51,6.54,1015.050
177,10/08/2020 07:20:01 午後,1.2,2.52,9.06,1014.950
178,10/08/2020 07:30:01 午後,1.2,2.01,6.54,1014.750
179,10/08/2020 07:40:01 午後,1.2,2.52,7.55,1014.650
180,10/08/2020 07:50:01 午後,1.2,4.03,12.58,1014.150
181,10/08/2020 08:00:01 午後,1.2,5.03,12.58,1014.150
182,10/08/2020 08:10:01 午後,1.2,4.53,13.09,1014.450
183,10/08/2020 08:20:01 午後,1.2,4.03,9.56,1014.550
184,10/08/2020 08:30:01 午後,1.2,5.03,12.58,1014.550
185,10/08/2020 08:40:01 午後,1.2,5.03,12.08,1014.550
186,10/08/2020 08:50:01 午後,1.2,4.03,10.07,1014.650
187,10/08/2020 09:00:01 午後,1.2,3.02,9.06,1014.650
188,10/08/2020 09:10:01 午後,1.2,3.02,8.56,1014.650
189,10/08/2020 09:20:01 午後,1.2,2.01,9.06,1014.850
190,10/08/2020 09:30:01 午後,1.2,3.52,9.06,1014.950
191,10/08/2020 09:40:01 午後,1.2,3.52,9.56,1014.750
192,10/08/2020 09:50:01 午後,1.2,3.52,10.57,1014.850
193,10/08/2020 10:00:01 午後,1.2,3.52,11.58,1015.050
194,10/08/2020 10:10:01 午後,1.2,4.03,10.57,1015.150
195,10/08/2020 10:20:01 午後,1.2,2.52,6.04,1015.250
196,10/08/2020 10:30:01 午後,1.2,3.52,8.05,1015.050
197,10/08/2020 10:40:01 午後,1.2,3.52,8.56,1014.650
198,10/08/2020 10:50:01 午後,1.2,4.53,11.07,1014.550
199,10/08/2020 11:00:01 午後,1.2,3.52,12.08,1014.350
200,10/08/2020 11:10:01 午後,1.2,4.53,9.56,1014.650
201,10/08/2020 11:20:01 午後,1.2,3.02,9.56,1014.850
202,10/08/2020 11:30:01 午後,1.2,2.01,6.54,1014.950
203,10/08/2020 11:40:01 午後,1.2,3.02,8.56,1014.750
204,10/08/2020 11:50:01 午後,1.2,2.01,7.55,1014.750
205,10/09/2020 12:00:01 午前,1.2,2.52,8.05,1014.350
206,10/09/2020 12:10:01 午前,1.2,2.01,7.55,1014.450
207,10/09/2020 12:20:01 午前,1.2,2.52,8.05,1014.550
208,10/09/2020 12:30:01 午前,1.2,2.52,8.05,1014.350
209,10/09/2020 12:40:01 午前,1.2,3.52,11.07,1014.350
210,10/09/2020 12:50:01 午前,1.2,2.52,8.05,1014.550
211,10/09/2020 01:00:01 午前,1.2,2.52,7.05,1014.550
212,10/09/2020 01:10:01 午前,1.2,3.52,9.06,1014.750
213,10/09/2020 01:20:01 午前,1.2,3.52,8.05,1014.850
214,10/09/2020 01:30:01 午前,1.2,2.52,7.05,1014.750
215,10/09/2020 01:40:01 午前,1.2,3.02,7.55,1014.150
216,10/09/2020 01:50:01 午前,1.2,3.52,8.56,1014.750
217,10/09/2020 02:00:01 午前,1.2,3.52,7.55,1014.950
218,10/09/2020 02:10:01 午前,1.2,3.02,8.05,1014.650
219,10/09/2020 02:20:01 午前,1.2,2.52,9.06,1014.450
