"プロット タイトル: Microstation_00_ecser_surface_220116"
"#","日付 時間, GMT+09:00","PAR, uE","風速, m/s","突風の速さ, m/s","圧力, mbar"
1,01/16/2022 06:00:01 午後,1.2,1.51,5.03,1023.350
2,01/16/2022 06:10:01 午後,1.2,1.51,4.53,1023.050
3,01/16/2022 06:20:01 午後,1.2,1.51,4.53,1023.050
4,01/16/2022 06:30:01 午後,1.2,1.51,5.03,1023.350
5,01/16/2022 06:40:01 午後,1.2,2.01,5.54,1023.450
6,01/16/2022 06:50:01 午後,1.2,1.51,4.53,1023.650
7,01/16/2022 07:00:01 午後,1.2,2.52,5.54,1023.750
8,01/16/2022 07:10:01 午後,1.2,2.52,5.54,1023.950
9,01/16/2022 07:20:01 午後,1.2,1.51,6.54,1024.250
10,01/16/2022 07:30:01 午後,1.2,1.51,5.54,1024.350
11,01/16/2022 07:40:01 午後,1.2,1.51,5.03,1024.150
12,01/16/2022 07:50:01 午後,1.2,1.01,4.03,1024.250
13,01/16/2022 08:00:01 午後,1.2,2.01,5.03,1024.450
14,01/16/2022 08:10:01 午後,1.2,1.51,5.03,1024.650
15,01/16/2022 08:20:01 午後,1.2,2.01,5.03,1024.350
16,01/16/2022 08:30:01 午後,1.2,2.01,5.03,1024.450
17,01/16/2022 08:40:01 午後,1.2,1.51,4.53,1024.650
18,01/16/2022 08:50:01 午後,1.2,1.51,5.03,1024.650
19,01/16/2022 09:00:01 午後,1.2,1.01,3.52,1024.550
20,01/16/2022 09:10:01 午後,1.2,1.01,3.52,1024.650
21,01/16/2022 09:20:01 午後,1.2,0.50,3.02,1024.650
22,01/16/2022 09:30:01 午後,1.2,1.51,3.52,1024.750
23,01/16/2022 09:40:01 午後,1.2,1.51,5.03,1024.750
24,01/16/2022 09:50:01 午後,1.2,1.51,3.52,1024.650
25,01/16/2022 10:00:01 午後,1.2,2.01,6.04,1024.650
26,01/16/2022 10:10:01 午後,1.2,1.51,3.52,1024.950
27,01/16/2022 10:20:01 午後,1.2,1.51,3.52,1024.550
28,01/16/2022 10:30:01 午後,1.2,1.51,4.53,1024.350
29,01/16/2022 10:40:01 午後,1.2,1.01,2.52,1024.550
30,01/16/2022 10:50:01 午後,1.2,0.50,2.52,1024.650
31,01/16/2022 11:00:01 午後,1.2,1.01,4.03,1024.450
32,01/16/2022 11:10:01 午後,1.2,0.00,2.01,1024.450
33,01/16/2022 11:20:01 午後,1.2,0.00,1.51,1024.450
34,01/16/2022 11:30:01 午後,1.2,0.00,3.02,1024.250
35,01/16/2022 11:40:01 午後,1.2,0.50,3.02,1024.250
36,01/16/2022 11:50:01 午後,1.2,0.00,2.01,1024.150
