"プロット タイトル: Microstation_00_ecser_surface_210326"
"#","日付 時間, GMT+09:00","PAR, uE","風速, m/s","突風の速さ, m/s","圧力, mbar"
1,03/26/2021 06:00:01 午後,171.2,0.00,0.50,1019.250
2,03/26/2021 06:10:01 午後,113.7,0.00,0.50,1019.350
3,03/26/2021 06:20:01 午後,58.7,0.00,1.01,1019.350
4,03/26/2021 06:30:01 午後,21.2,0.00,0.50,1019.250
5,03/26/2021 06:40:01 午後,3.7,0.00,1.01,1019.350
6,03/26/2021 06:50:01 午後,1.2,0.00,1.51,1019.250
7,03/26/2021 07:00:01 午後,1.2,0.50,2.01,1019.350
8,03/26/2021 07:10:01 午後,1.2,0.00,1.51,1019.450
9,03/26/2021 07:20:01 午後,1.2,0.00,1.51,1019.550
10,03/26/2021 07:30:01 午後,1.2,0.50,2.01,1019.650
11,03/26/2021 07:40:01 午後,1.2,0.00,2.01,1019.450
12,03/26/2021 07:50:01 午後,1.2,0.00,1.01,1019.750
13,03/26/2021 08:00:01 午後,1.2,0.00,1.01,1019.750
14,03/26/2021 08:10:01 午後,1.2,0.00,1.51,1019.850
15,03/26/2021 08:20:01 午後,1.2,0.00,1.01,1019.950
16,03/26/2021 08:30:01 午後,1.2,0.00,1.51,1020.050
17,03/26/2021 08:40:01 午後,1.2,0.00,1.51,1020.050
18,03/26/2021 08:50:01 午後,1.2,0.00,2.01,1020.350
19,03/26/2021 09:00:01 午後,1.2,0.00,1.01,1020.450
20,03/26/2021 09:10:01 午後,1.2,0.00,0.50,1020.550
21,03/26/2021 09:20:01 午後,1.2,0.00,0.50,1020.650
22,03/26/2021 09:30:01 午後,1.2,0.00,1.01,1020.650
23,03/26/2021 09:40:01 午後,1.2,0.00,1.01,1020.650
24,03/26/2021 09:50:01 午後,1.2,0.00,1.51,1020.750
25,03/26/2021 10:00:01 午後,1.2,0.00,1.51,1020.850
26,03/26/2021 10:10:01 午後,1.2,0.00,1.51,1020.850
27,03/26/2021 10:20:01 午後,1.2,0.00,1.01,1020.850
28,03/26/2021 10:30:01 午後,1.2,0.00,1.51,1020.950
29,03/26/2021 10:40:01 午後,1.2,0.00,1.51,1020.950
30,03/26/2021 10:50:01 午後,1.2,0.00,2.01,1021.150
31,03/26/2021 11:00:01 午後,1.2,0.50,2.01,1021.150
32,03/26/2021 11:10:01 午後,1.2,0.00,1.01,1021.350
33,03/26/2021 11:20:01 午後,1.2,0.00,1.01,1021.450
34,03/26/2021 11:30:01 午後,1.2,0.00,1.51,1021.450
35,03/26/2021 11:40:01 午後,1.2,0.00,1.01,1021.350
36,03/26/2021 11:50:01 午後,1.2,0.00,1.01,1021.450
37,03/27/2021 12:00:01 午前,1.2,0.00,1.01,1021.150
38,03/27/2021 12:10:01 午前,1.2,0.00,1.51,1021.250
39,03/27/2021 12:20:01 午前,1.2,0.00,1.01,1021.050
40,03/27/2021 12:30:01 午前,1.2,0.00,0.50,1021.050
41,03/27/2021 12:40:01 午前,1.2,0.00,0.50,1021.150
42,03/27/2021 12:50:01 午前,1.2,0.00,0.50,1021.050
43,03/27/2021 01:00:01 午前,1.2,0.00,1.01,1021.050
44,03/27/2021 01:10:01 午前,1.2,0.00,0.50,1020.850
45,03/27/2021 01:20:01 午前,1.2,0.00,0.50,1020.850
46,03/27/2021 01:30:01 午前,1.2,0.00,0.50,1020.850
47,03/27/2021 01:40:01 午前,1.2,0.00,0.50,1020.850
48,03/27/2021 01:50:01 午前,1.2,0.00,0.50,1020.650
49,03/27/2021 02:00:01 午前,1.2,0.00,1.51,1020.750
50,03/27/2021 02:10:01 午前,1.2,0.00,0.50,1020.550
51,03/27/2021 02:20:01 午前,1.2,0.00,0.50,1020.350
52,03/27/2021 02:30:01 午前,1.2,0.00,1.01,1020.250
53,03/27/2021 02:40:01 午前,1.2,0.00,0.50,1020.250
54,03/27/2021 02:50:01 午前,1.2,0.00,1.01,1019.950
55,03/27/2021 03:00:01 午前,1.2,0.00,1.51,1019.850
56,03/27/2021 03:10:01 午前,1.2,0.00,1.01,1019.650
57,03/27/2021 03:20:01 午前,1.2,0.00,0.50,1019.750
58,03/27/2021 03:30:01 午前,1.2,0.00,0.50,1019.650
59,03/27/2021 03:40:01 午前,1.2,0.00,1.01,1019.750
60,03/27/2021 03:50:01 午前,1.2,0.00,0.50,1019.750
