"プロット タイトル: Microstation_00_ecser_surface_210326"
"#","日付 時間, GMT+09:00","PAR, uE","風速, m/s","突風の速さ, m/s","圧力, mbar"
61,03/27/2021 04:00:01 午前,1.2,0.00,1.01,1019.550
62,03/27/2021 04:10:01 午前,1.2,0.00,1.01,1019.550
63,03/27/2021 04:20:01 午前,1.2,0.00,0.50,1019.450
64,03/27/2021 04:30:01 午前,1.2,0.00,0.50,1019.350
65,03/27/2021 04:40:01 午前,1.2,0.00,0.50,1019.350
66,03/27/2021 04:50:01 午前,1.2,0.00,1.01,1019.450
67,03/27/2021 05:00:01 午前,1.2,0.00,0.50,1019.350
68,03/27/2021 05:10:01 午前,1.2,0.00,0.50,1019.450
69,03/27/2021 05:20:01 午前,1.2,0.00,1.01,1019.250
70,03/27/2021 05:30:01 午前,1.2,0.00,1.01,1019.350
71,03/27/2021 05:40:01 午前,1.2,0.00,0.50,1019.350
72,03/27/2021 05:50:01 午前,1.2,0.00,0.50,1019.550
73,03/27/2021 06:00:01 午前,1.2,0.00,1.01,1019.450
74,03/27/2021 06:10:01 午前,1.2,0.00,0.50,1019.350
75,03/27/2021 06:20:01 午前,11.2,0.00,0.50,1019.150
76,03/27/2021 06:30:01 午前,33.7,0.00,1.01,1019.250
77,03/27/2021 06:40:01 午前,58.7,0.00,1.01,1019.150
78,03/27/2021 06:50:01 午前,73.7,0.00,0.50,1019.250
79,03/27/2021 07:00:01 午前,108.7,0.00,1.01,1019.150
80,03/27/2021 07:10:01 午前,136.2,0.00,1.01,1019.250
81,03/27/2021 07:20:01 午前,148.7,0.00,1.01,1019.150
82,03/27/2021 07:30:01 午前,316.2,0.00,0.50,1018.350
83,03/27/2021 07:40:01 午前,393.7,0.00,0.50,1018.150
84,03/27/2021 07:50:01 午前,493.7,0.00,1.51,1017.850
85,03/27/2021 08:00:01 午前,566.2,0.00,1.01,1017.650
86,03/27/2021 08:10:01 午前,638.7,0.00,1.51,1017.550
87,03/27/2021 08:20:01 午前,713.7,0.00,1.01,1017.650
88,03/27/2021 08:30:01 午前,783.7,0.00,2.01,1017.450
89,03/27/2021 08:40:01 午前,861.2,0.00,2.01,1017.450
90,03/27/2021 08:50:01 午前,946.2,0.00,1.51,1017.150
91,03/27/2021 09:00:01 午前,1001.2,0.00,2.01,1017.350
92,03/27/2021 09:10:01 午前,1161.2,0.50,3.02,1017.250
93,03/27/2021 09:20:01 午前,1378.7,0.50,4.53,1017.250
94,03/27/2021 09:30:01 午前,706.2,2.01,7.05,1018.050
95,03/27/2021 09:40:01 午前,1103.7,0.50,3.52,1017.450
96,03/27/2021 09:50:01 午前,1426.2,0.50,3.52,1018.150
97,03/27/2021 10:00:01 午前,1086.2,1.01,4.53,1018.250
98,03/27/2021 10:10:01 午前,813.7,1.01,4.53,1018.150
99,03/27/2021 10:20:01 午前,1468.7,0.50,4.53,1017.950
100,03/27/2021 10:30:01 午前,1523.7,1.01,6.04,1017.850
101,03/27/2021 10:40:01 午前,1091.2,1.01,4.03,1017.650
102,03/27/2021 10:50:01 午前,1581.2,1.51,4.53,1017.550
103,03/27/2021 11:00:01 午前,886.2,1.51,6.04,1017.650
104,03/27/2021 11:10:01 午前,771.2,1.01,3.52,1017.550
105,03/27/2021 11:20:01 午前,1238.7,1.01,5.03,1017.250
106,03/27/2021 11:30:01 午前,1641.2,2.01,8.05,1017.150
107,03/27/2021 11:40:01 午前,1191.2,1.01,5.03,1016.950
108,03/27/2021 11:50:01 午前,1368.7,1.01,3.52,1016.750
109,03/27/2021 12:00:01 午後,1721.2,2.52,6.54,1016.550
110,03/27/2021 12:10:01 午後,1798.7,2.01,6.54,1016.350
111,03/27/2021 12:20:01 午後,1878.7,1.01,4.53,1016.050
112,03/27/2021 12:30:01 午後,1701.2,1.51,6.54,1016.150
113,03/27/2021 12:40:01 午後,1776.2,2.52,8.05,1016.050
114,03/27/2021 12:50:01 午後,1621.2,5.03,10.57,1015.750
115,03/27/2021 01:00:01 午後,1051.2,6.54,12.08,1015.750
116,03/27/2021 01:10:01 午後,1773.7,6.04,10.07,1015.350
117,03/27/2021 01:20:01 午後,1771.2,7.55,11.58,1014.950
118,03/27/2021 01:30:01 午後,1688.7,6.54,10.07,1014.950
119,03/27/2021 01:40:01 午後,1573.7,7.05,11.58,1014.850
120,03/27/2021 01:50:01 午後,1583.7,7.55,12.08,1014.850
121,03/27/2021 02:00:01 午後,1533.7,7.05,11.07,1014.450
122,03/27/2021 02:10:01 午後,1221.2,6.04,10.57,1014.650
123,03/27/2021 02:20:01 午後,1483.7,6.04,11.07,1014.250
124,03/27/2021 02:30:01 午後,1291.2,6.54,10.57,1014.150
125,03/27/2021 02:40:01 午後,1148.7,6.54,10.07,1014.250
126,03/27/2021 02:50:01 午後,893.7,6.04,9.06,1013.850
127,03/27/2021 03:00:01 午後,1058.7,6.04,11.07,1013.550
128,03/27/2021 03:10:01 午後,671.2,7.55,11.58,1013.450
129,03/27/2021 03:20:01 午後,611.2,8.05,12.08,1013.550
130,03/27/2021 03:30:01 午後,898.7,8.05,13.09,1013.150
131,03/27/2021 03:40:01 午後,423.7,7.05,12.58,1013.350
132,03/27/2021 03:50:01 午後,621.2,5.03,10.57,1012.850
133,03/27/2021 04:00:01 午後,386.2,6.54,11.58,1013.150
134,03/27/2021 04:10:01 午後,353.7,8.05,13.09,1012.650
135,03/27/2021 04:20:01 午後,318.7,6.54,14.09,1013.050
136,03/27/2021 04:30:01 午後,263.7,5.54,10.07,1013.050
137,03/27/2021 04:40:01 午後,138.7,4.03,9.56,1013.050
138,03/27/2021 04:50:01 午後,113.7,3.02,9.56,1012.950
139,03/27/2021 05:00:01 午後,111.2,2.01,10.07,1012.750
140,03/27/2021 05:10:01 午後,126.2,2.01,6.54,1012.950
141,03/27/2021 05:20:01 午後,73.7,2.01,9.06,1012.950
142,03/27/2021 05:30:01 午後,43.7,2.52,10.07,1013.250
143,03/27/2021 05:40:01 午後,21.2,2.52,6.54,1013.250
144,03/27/2021 05:50:01 午後,16.2,2.01,7.05,1013.250
145,03/27/2021 06:00:01 午後,13.7,2.52,7.55,1013.350
146,03/27/2021 06:10:01 午後,8.7,3.52,8.05,1013.150
147,03/27/2021 06:20:01 午後,6.2,3.02,10.07,1012.950
148,03/27/2021 06:30:01 午後,1.2,4.53,11.07,1012.850
149,03/27/2021 06:40:01 午後,1.2,4.03,11.07,1012.850
150,03/27/2021 06:50:01 午後,1.2,3.52,8.05,1012.850
151,03/27/2021 07:00:01 午後,1.2,1.51,6.54,1012.850
152,03/27/2021 07:10:01 午後,1.2,1.51,7.05,1012.750
153,03/27/2021 07:20:01 午後,1.2,1.01,4.03,1012.350
154,03/27/2021 07:30:01 午後,1.2,1.01,4.03,1012.150
155,03/27/2021 07:40:01 午後,1.2,0.50,4.03,1012.650
156,03/27/2021 07:50:01 午後,1.2,0.50,3.52,1012.450
157,03/27/2021 08:00:01 午後,1.2,1.01,4.03,1012.550
158,03/27/2021 08:10:01 午後,1.2,1.01,7.05,1012.550
159,03/27/2021 08:20:01 午後,1.2,1.01,5.03,1012.350
160,03/27/2021 08:30:01 午後,1.2,1.51,9.06,1012.550
161,03/27/2021 08:40:01 午後,1.2,1.01,4.03,1012.450
162,03/27/2021 08:50:01 午後,1.2,0.50,4.53,1012.550
163,03/27/2021 09:00:01 午後,1.2,1.01,4.53,1012.650
164,03/27/2021 09:10:01 午後,1.2,1.51,6.04,1012.450
165,03/27/2021 09:20:01 午後,1.2,1.51,7.55,1012.150
166,03/27/2021 09:30:01 午後,1.2,1.01,4.53,1012.050
167,03/27/2021 09:40:01 午後,1.2,1.01,3.02,1012.150
168,03/27/2021 09:50:01 午後,1.2,1.01,4.53,1011.850
169,03/27/2021 10:00:01 午後,1.2,1.01,3.02,1011.750
170,03/27/2021 10:10:01 午後,1.2,1.51,4.53,1011.550
171,03/27/2021 10:20:01 午後,1.2,2.01,6.54,1011.250
172,03/27/2021 10:30:01 午後,1.2,1.51,5.54,1011.350
173,03/27/2021 10:40:01 午後,1.2,1.51,8.05,1011.350
174,03/27/2021 10:50:01 午後,1.2,2.52,8.05,1010.950
175,03/27/2021 11:00:01 午後,1.2,2.01,9.56,1010.750
176,03/27/2021 11:10:01 午後,1.2,2.01,7.05,1010.950
177,03/27/2021 11:20:01 午後,1.2,1.01,5.03,1010.650
178,03/27/2021 11:30:01 午後,1.2,2.01,10.07,1010.550
179,03/27/2021 11:40:01 午後,1.2,1.51,6.54,1010.150
180,03/27/2021 11:50:01 午後,1.2,1.01,4.53,1010.050
181,03/28/2021 12:00:01 午前,1.2,1.51,5.03,1009.950
182,03/28/2021 12:10:01 午前,1.2,1.51,4.03,1009.750
183,03/28/2021 12:20:01 午前,1.2,1.01,6.04,1009.750
184,03/28/2021 12:30:01 午前,1.2,2.01,8.56,1009.850
185,03/28/2021 12:40:01 午前,1.2,1.51,5.54,1009.650
186,03/28/2021 12:50:01 午前,1.2,1.01,4.03,1009.450
187,03/28/2021 01:00:01 午前,1.2,1.51,5.03,1009.150
188,03/28/2021 01:10:01 午前,1.2,1.01,3.52,1008.950
189,03/28/2021 01:20:01 午前,1.2,1.01,3.52,1008.650
190,03/28/2021 01:30:01 午前,1.2,1.51,6.04,1008.250
191,03/28/2021 01:40:01 午前,1.2,2.01,9.56,1008.050
192,03/28/2021 01:50:01 午前,1.2,3.02,9.06,1007.650
193,03/28/2021 02:00:01 午前,1.2,2.01,9.56,1007.550
194,03/28/2021 02:10:01 午前,1.2,3.02,9.56,1007.650
195,03/28/2021 02:20:01 午前,1.2,3.02,11.07,1007.350
196,03/28/2021 02:30:01 午前,1.2,3.02,10.07,1007.450
197,03/28/2021 02:40:01 午前,1.2,3.02,10.57,1007.150
198,03/28/2021 02:50:01 午前,1.2,3.02,13.59,1006.650
199,03/28/2021 03:00:01 午前,1.2,3.02,11.07,1006.550
200,03/28/2021 03:10:01 午前,1.2,4.03,13.09,1006.550
201,03/28/2021 03:20:01 午前,1.2,3.52,13.59,1006.250
202,03/28/2021 03:30:01 午前,1.2,3.52,11.07,1005.450
203,03/28/2021 03:40:01 午前,1.2,3.52,10.57,1005.350
204,03/28/2021 03:50:01 午前,1.2,5.54,14.59,1005.450
205,03/28/2021 04:00:01 午前,1.2,5.54,19.12,1005.250
206,03/28/2021 04:10:01 午前,1.2,5.03,17.11,1005.250
207,03/28/2021 04:20:01 午前,1.2,7.05,15.10,1004.850
208,03/28/2021 04:30:01 午前,1.2,6.04,17.11,1004.650
209,03/28/2021 04:40:01 午前,1.2,5.03,13.59,1004.850
210,03/28/2021 04:50:01 午前,1.2,5.03,13.09,1004.450
211,03/28/2021 05:00:01 午前,1.2,5.54,15.10,1004.850
212,03/28/2021 05:10:01 午前,1.2,6.04,16.10,1004.750
213,03/28/2021 05:20:01 午前,1.2,5.54,15.10,1004.750
214,03/28/2021 05:30:01 午前,1.2,6.54,16.61,1004.250
215,03/28/2021 05:40:01 午前,1.2,6.04,12.58,1004.550
216,03/28/2021 05:50:01 午前,1.2,5.03,12.58,1004.950
217,03/28/2021 06:00:01 午前,1.2,5.54,17.11,1005.150
218,03/28/2021 06:10:01 午前,1.2,6.04,15.60,1004.750
219,03/28/2021 06:20:01 午前,1.2,6.04,14.09,1005.150
220,03/28/2021 06:30:01 午前,1.2,5.54,13.09,1005.650
221,03/28/2021 06:40:01 午前,1.2,5.54,16.61,1007.350
222,03/28/2021 06:50:01 午前,1.2,6.04,13.59,1007.250
223,03/28/2021 07:00:01 午前,13.7,2.52,6.04,1007.150
224,03/28/2021 07:10:01 午前,21.2,2.52,5.54,1007.150
225,03/28/2021 07:20:01 午前,16.2,2.01,4.03,1006.850
226,03/28/2021 07:30:01 午前,26.2,2.01,4.03,1006.750
227,03/28/2021 07:40:01 午前,46.2,2.01,4.03,1006.750
228,03/28/2021 07:50:01 午前,68.7,2.52,5.03,1006.650
229,03/28/2021 08:00:01 午前,28.7,2.01,3.52,1006.650
230,03/28/2021 08:10:01 午前,26.2,2.01,4.03,1006.850
231,03/28/2021 08:20:01 午前,31.2,2.52,5.54,1006.750
232,03/28/2021 08:30:01 午前,46.2,2.01,5.03,1006.850
233,03/28/2021 08:40:01 午前,43.7,2.01,5.54,1006.850
234,03/28/2021 08:50:01 午前,46.2,1.01,3.52,1006.850
235,03/28/2021 09:00:01 午前,88.7,1.01,3.02,1006.650
236,03/28/2021 09:10:01 午前,68.7,0.50,2.52,1006.850
237,03/28/2021 09:20:01 午前,156.2,0.50,1.51,1006.650
238,03/28/2021 09:30:01 午前,93.7,0.00,1.01,1006.950
239,03/28/2021 09:40:01 午前,36.2,0.50,2.01,1007.350
240,03/28/2021 09:50:01 午前,36.2,0.50,3.02,1007.550
241,03/28/2021 10:00:01 午前,56.2,2.52,8.56,1007.750
242,03/28/2021 10:10:01 午前,38.7,2.52,6.54,1007.750
243,03/28/2021 10:20:01 午前,53.7,0.50,3.02,1007.450
244,03/28/2021 10:30:01 午前,66.2,0.50,2.01,1007.550
245,03/28/2021 10:40:01 午前,136.2,1.51,4.03,1007.850
246,03/28/2021 10:50:01 午前,96.2,1.01,4.03,1008.050
247,03/28/2021 11:00:01 午前,116.2,0.50,3.52,1007.650
248,03/28/2021 11:10:01 午前,96.2,0.50,3.52,1008.150
249,03/28/2021 11:20:01 午前,156.2,0.00,2.01,1007.450
250,03/28/2021 11:30:01 午前,88.7,0.00,1.51,1007.750
251,03/28/2021 11:40:01 午前,196.2,0.00,2.01,1007.550
252,03/28/2021 11:50:01 午前,123.7,0.00,1.51,1007.850
253,03/28/2021 12:00:01 午後,143.7,0.00,1.01,1008.050
254,03/28/2021 12:10:01 午後,168.7,0.00,1.01,1008.250
255,03/28/2021 12:20:01 午後,196.2,0.00,0.50,1007.850
256,03/28/2021 12:30:01 午後,321.2,0.00,1.51,1007.450
257,03/28/2021 12:40:01 午後,341.2,0.00,1.01,1007.450
258,03/28/2021 12:50:01 午後,251.2,0.00,2.01,1007.450
259,03/28/2021 01:00:01 午後,281.2,0.00,2.01,1007.250
260,03/28/2021 01:10:01 午後,308.7,0.50,2.52,1006.750
261,03/28/2021 01:20:01 午後,633.7,0.00,1.51,1006.950
262,03/28/2021 01:30:01 午後,471.2,0.00,2.01,1006.950
263,03/28/2021 01:40:01 午後,543.7,0.50,2.52,1006.950
264,03/28/2021 01:50:01 午後,503.7,1.01,3.02,1007.050
265,03/28/2021 02:00:01 午後,621.2,1.51,4.53,1007.350
266,03/28/2021 02:10:01 午後,481.2,1.51,3.52,1007.050
267,03/28/2021 02:20:01 午後,556.2,1.01,2.52,1006.650
268,03/28/2021 02:30:01 午後,656.2,1.01,3.52,1006.950
269,03/28/2021 02:40:01 午後,971.2,0.50,2.01,1006.850
270,03/28/2021 02:50:01 午後,1226.2,0.50,2.01,1006.650
271,03/28/2021 03:00:01 午後,803.7,0.50,2.01,1006.950
272,03/28/2021 03:10:01 午後,1051.2,0.50,2.52,1006.650
273,03/28/2021 03:20:01 午後,1173.7,1.01,4.03,1006.950
274,03/28/2021 03:30:01 午後,1068.7,1.01,4.03,1007.150
275,03/28/2021 03:40:01 午後,973.7,1.01,3.52,1007.050
276,03/28/2021 03:50:01 午後,1041.2,1.01,3.52,1006.950
277,03/28/2021 04:00:01 午後,951.2,1.01,4.03,1007.350
278,03/28/2021 04:10:01 午後,843.7,1.01,3.52,1007.150
279,03/28/2021 04:20:01 午後,728.7,0.50,2.52,1007.050
280,03/28/2021 04:30:01 午後,681.2,0.50,2.52,1007.050
281,03/28/2021 04:40:01 午後,613.7,0.50,2.01,1007.050
282,03/28/2021 04:50:01 午後,523.7,1.51,4.03,1006.950
283,03/28/2021 05:00:01 午後,463.7,0.50,3.02,1007.050
284,03/28/2021 05:10:01 午後,408.7,0.50,2.01,1007.150
285,03/28/2021 05:20:01 午後,328.7,0.50,3.02,1007.150
286,03/28/2021 05:30:01 午後,253.7,0.50,2.52,1007.450
287,03/28/2021 05:40:01 午後,203.7,0.50,2.01,1007.650
288,03/28/2021 05:50:01 午後,148.7,1.01,2.52,1007.550
289,03/28/2021 06:00:01 午後,106.2,1.01,3.02,1007.550
290,03/28/2021 06:10:01 午後,73.7,0.50,2.52,1007.650
291,03/28/2021 06:20:01 午後,41.2,0.00,1.51,1007.750
292,03/28/2021 06:30:01 午後,18.7,0.00,2.01,1007.950
293,03/28/2021 06:40:01 午後,3.7,0.00,2.01,1008.050
294,03/28/2021 06:50:01 午後,1.2,0.00,1.51,1007.950
295,03/28/2021 07:00:01 午後,1.2,0.00,1.51,1007.850
296,03/28/2021 07:10:01 午後,1.2,0.00,1.51,1007.750
297,03/28/2021 07:20:01 午後,1.2,0.00,1.51,1008.050
298,03/28/2021 07:30:01 午後,1.2,0.00,1.51,1008.150
299,03/28/2021 07:40:01 午後,1.2,0.00,1.51,1008.350
300,03/28/2021 07:50:01 午後,1.2,0.00,2.01,1008.450
301,03/28/2021 08:00:01 午後,1.2,0.00,1.51,1008.650
302,03/28/2021 08:10:01 午後,1.2,0.50,2.01,1008.850
303,03/28/2021 08:20:01 午後,1.2,0.00,1.01,1009.150
304,03/28/2021 08:30:01 午後,1.2,0.00,1.01,1009.250
305,03/28/2021 08:40:01 午後,1.2,0.00,1.51,1009.450
306,03/28/2021 08:50:01 午後,1.2,0.00,2.01,1009.650
307,03/28/2021 09:00:01 午後,1.2,0.00,1.51,1009.550
308,03/28/2021 09:10:01 午後,1.2,0.00,1.01,1009.650
309,03/28/2021 09:20:01 午後,1.2,0.00,1.51,1009.550
310,03/28/2021 09:30:01 午後,1.2,0.00,1.51,1009.650
311,03/28/2021 09:40:01 午後,1.2,0.00,1.51,1009.750
312,03/28/2021 09:50:01 午後,1.2,0.00,1.01,1009.750
313,03/28/2021 10:00:01 午後,1.2,0.00,1.01,1009.750
314,03/28/2021 10:10:01 午後,1.2,0.00,1.51,1009.850
315,03/28/2021 10:20:01 午後,1.2,0.00,1.51,1009.850
316,03/28/2021 10:30:01 午後,1.2,0.00,1.51,1009.850
317,03/28/2021 10:40:01 午後,1.2,0.00,1.51,1009.850
318,03/28/2021 10:50:01 午後,1.2,0.00,1.01,1009.850
319,03/28/2021 11:00:01 午後,1.2,0.00,0.50,1009.850
320,03/28/2021 11:10:01 午後,1.2,0.00,1.51,1009.750
321,03/28/2021 11:20:01 午後,1.2,0.00,1.01,1009.750
322,03/28/2021 11:30:01 午後,1.2,0.00,0.50,1009.750
323,03/28/2021 11:40:01 午後,1.2,0.00,1.01,1009.850
324,03/28/2021 11:50:01 午後,1.2,0.00,0.50,1009.750
325,03/29/2021 12:00:01 午前,1.2,0.00,1.01,1009.650
326,03/29/2021 12:10:01 午前,1.2,0.00,1.01,1009.650
327,03/29/2021 12:20:01 午前,1.2,0.00,0.50,1009.550
328,03/29/2021 12:30:01 午前,1.2,0.00,0.00,1009.750
329,03/29/2021 12:40:01 午前,1.2,0.00,0.00,1009.650
330,03/29/2021 12:50:01 午前,1.2,0.00,0.00,1009.650
331,03/29/2021 01:00:01 午前,1.2,0.00,0.00,1009.750
332,03/29/2021 01:10:01 午前,1.2,0.00,0.50,1009.650
333,03/29/2021 01:20:01 午前,1.2,0.00,0.00,1009.650
334,03/29/2021 01:30:01 午前,1.2,0.00,0.00,1009.750
335,03/29/2021 01:40:01 午前,1.2,0.00,1.51,1009.750
336,03/29/2021 01:50:01 午前,1.2,0.00,1.01,1009.550
337,03/29/2021 02:00:01 午前,1.2,0.00,1.01,1009.350
338,03/29/2021 02:10:01 午前,1.2,0.00,0.50,1009.250
339,03/29/2021 02:20:01 午前,1.2,0.00,0.00,1009.350
340,03/29/2021 02:30:01 午前,1.2,0.00,0.00,1009.450
341,03/29/2021 02:40:01 午前,1.2,0.00,0.50,1009.450
342,03/29/2021 02:50:01 午前,1.2,0.00,0.50,1009.750
343,03/29/2021 03:00:01 午前,1.2,0.00,1.51,1009.850
344,03/29/2021 03:10:01 午前,1.2,0.50,2.01,1009.650
345,03/29/2021 03:20:01 午前,1.2,0.00,1.51,1009.750
346,03/29/2021 03:30:01 午前,1.2,0.00,1.01,1009.750
347,03/29/2021 03:40:01 午前,1.2,0.00,2.52,1009.650
348,03/29/2021 03:50:01 午前,1.2,0.00,1.51,1009.750
349,03/29/2021 04:00:01 午前,1.2,0.00,1.51,1009.650
350,03/29/2021 04:10:01 午前,1.2,0.00,2.01,1009.850
351,03/29/2021 04:20:01 午前,1.2,0.00,1.51,1009.950
352,03/29/2021 04:30:01 午前,1.2,0.50,2.01,1009.850
353,03/29/2021 04:40:01 午前,1.2,0.00,1.51,1009.950
354,03/29/2021 04:50:01 午前,1.2,0.00,1.51,1009.850
355,03/29/2021 05:00:01 午前,1.2,0.50,1.51,1009.750
356,03/29/2021 05:10:01 午前,1.2,0.00,1.51,1009.450
357,03/29/2021 05:20:01 午前,1.2,0.00,1.51,1009.550
358,03/29/2021 05:30:01 午前,1.2,0.00,1.01,1009.850
359,03/29/2021 05:40:01 午前,1.2,0.00,1.01,1010.050
360,03/29/2021 05:50:01 午前,1.2,0.00,1.51,1010.150
361,03/29/2021 06:00:01 午前,1.2,0.00,1.51,1010.250
362,03/29/2021 06:10:01 午前,3.7,0.00,1.01,1010.250
363,03/29/2021 06:20:01 午前,13.7,0.00,1.01,1010.650
364,03/29/2021 06:30:01 午前,33.7,0.00,1.51,1010.550
365,03/29/2021 06:40:01 午前,58.7,0.00,1.51,1010.450
366,03/29/2021 06:50:01 午前,88.7,0.00,1.51,1010.450
367,03/29/2021 07:00:01 午前,123.7,0.00,1.01,1010.650
368,03/29/2021 07:10:01 午前,123.7,0.00,0.50,1010.950
369,03/29/2021 07:20:01 午前,121.2,0.00,0.00,1011.150
370,03/29/2021 07:30:01 午前,218.7,0.00,0.50,1011.150
371,03/29/2021 07:40:01 午前,313.7,0.50,1.51,1010.650
372,03/29/2021 07:50:01 午前,361.2,0.00,1.51,1010.550
373,03/29/2021 08:00:01 午前,408.7,0.50,2.52,1010.450
374,03/29/2021 08:10:01 午前,491.2,0.50,2.52,1010.350
375,03/29/2021 08:20:01 午前,423.7,1.51,3.52,1010.750
376,03/29/2021 08:30:01 午前,591.2,1.51,3.52,1010.550
377,03/29/2021 08:40:01 午前,546.2,1.01,3.52,1010.950
378,03/29/2021 08:50:01 午前,603.7,2.01,4.53,1010.950
379,03/29/2021 09:00:01 午前,793.7,2.01,3.52,1010.650
380,03/29/2021 09:10:01 午前,641.2,1.51,3.02,1011.050
381,03/29/2021 09:20:01 午前,546.2,1.51,3.02,1011.350
382,03/29/2021 09:30:01 午前,753.7,1.51,3.02,1011.050
383,03/29/2021 09:40:01 午前,443.7,1.51,3.52,1011.550
384,03/29/2021 09:50:01 午前,918.7,1.01,3.02,1011.250
385,03/29/2021 10:00:01 午前,1136.2,1.51,3.52,1011.150
386,03/29/2021 10:10:01 午前,1161.2,1.51,3.52,1011.150
387,03/29/2021 10:20:01 午前,1248.7,2.01,3.52,1011.150
388,03/29/2021 10:30:01 午前,1301.2,2.01,3.52,1011.050
389,03/29/2021 10:40:01 午前,953.7,2.52,4.53,1010.850
390,03/29/2021 10:50:01 午前,753.7,2.01,4.53,1010.950
391,03/29/2021 11:00:01 午前,861.2,2.01,4.53,1010.850
392,03/29/2021 11:10:01 午前,1386.2,1.51,3.52,1010.650
393,03/29/2021 11:20:01 午前,991.2,1.51,3.52,1010.650
394,03/29/2021 11:30:01 午前,1143.7,1.51,4.03,1010.650
