"プロット タイトル: Microstation_00_ecser_surface_201110"
"#","日付 時間, GMT+09:00","PAR, uE","風速, m/s","突風の速さ, m/s","圧力, mbar"
1,11/10/2020 04:30:01 午後,206.2,1.01,4.03,1025.750
2,11/10/2020 04:40:01 午後,96.2,1.01,4.03,1025.950
3,11/10/2020 04:50:01 午後,71.2,0.00,3.52,1026.050
4,11/10/2020 05:00:01 午後,53.7,0.00,2.52,1026.150
5,11/10/2020 05:10:01 午後,28.7,0.00,2.01,1026.250
6,11/10/2020 05:20:01 午後,13.7,0.00,1.51,1026.350
7,11/10/2020 05:30:01 午後,3.7,0.00,1.51,1026.350
8,11/10/2020 05:40:01 午後,1.2,0.00,0.50,1026.450
9,11/10/2020 05:50:01 午後,1.2,0.00,1.51,1026.550
10,11/10/2020 06:00:01 午後,1.2,0.00,1.01,1026.850
11,11/10/2020 06:10:01 午後,1.2,0.00,0.50,1026.750
12,11/10/2020 06:20:01 午後,1.2,0.00,1.01,1026.850
13,11/10/2020 06:30:01 午後,1.2,0.00,1.01,1026.850
14,11/10/2020 06:40:01 午後,1.2,0.00,1.01,1026.850
15,11/10/2020 06:50:01 午後,1.2,0.00,2.01,1026.950
16,11/10/2020 07:00:01 午後,1.2,0.00,1.51,1026.950
17,11/10/2020 07:10:01 午後,1.2,0.00,1.51,1027.050
18,11/10/2020 07:20:01 午後,1.2,0.00,2.01,1027.150
19,11/10/2020 07:30:01 午後,1.2,0.00,1.51,1027.050
20,11/10/2020 07:40:01 午後,1.2,0.00,1.51,1027.150
21,11/10/2020 07:50:01 午後,1.2,0.00,1.01,1027.150
22,11/10/2020 08:00:01 午後,1.2,0.00,2.01,1027.350
23,11/10/2020 08:10:01 午後,1.2,0.00,1.51,1027.450
24,11/10/2020 08:20:01 午後,1.2,0.00,1.51,1027.450
25,11/10/2020 08:30:01 午後,1.2,0.00,2.01,1027.450
26,11/10/2020 08:40:01 午後,1.2,0.00,1.51,1027.350
27,11/10/2020 08:50:01 午後,1.2,0.00,1.51,1027.450
28,11/10/2020 09:00:01 午後,1.2,0.00,1.51,1027.550
29,11/10/2020 09:10:01 午後,1.2,0.00,1.01,1027.550
30,11/10/2020 09:20:01 午後,1.2,0.00,1.01,1027.650
31,11/10/2020 09:30:01 午後,1.2,0.00,1.51,1027.650
32,11/10/2020 09:40:01 午後,1.2,0.00,1.51,1027.650
33,11/10/2020 09:50:01 午後,1.2,0.00,1.01,1027.850
34,11/10/2020 10:00:01 午後,1.2,0.00,1.01,1027.850
35,11/10/2020 10:10:01 午後,1.2,0.00,1.01,1027.950
36,11/10/2020 10:20:01 午後,1.2,0.00,2.01,1027.950
37,11/10/2020 10:30:01 午後,1.2,0.00,0.50,1027.950
38,11/10/2020 10:40:01 午後,1.2,0.00,1.01,1027.850
39,11/10/2020 10:50:01 午後,1.2,0.00,1.51,1027.750
