"プロット タイトル: Microstation_00_ecser_surface_201110"
"#","日付 時間, GMT+09:00","PAR, uE","風速, m/s","突風の速さ, m/s","圧力, mbar"
40,11/10/2020 11:00:01 午後,1.2,0.00,1.01,1027.850
41,11/10/2020 11:10:01 午後,1.2,0.00,0.50,1027.650
42,11/10/2020 11:20:01 午後,1.2,0.00,0.50,1027.750
43,11/10/2020 11:30:01 午後,1.2,0.00,1.01,1027.850
44,11/10/2020 11:40:01 午後,1.2,0.00,0.50,1027.650
45,11/10/2020 11:50:01 午後,1.2,0.00,0.50,1027.950
46,11/11/2020 12:00:01 午前,1.2,0.00,0.50,1027.850
47,11/11/2020 12:10:01 午前,1.2,0.00,1.01,1027.850
48,11/11/2020 12:20:01 午前,1.2,0.00,1.51,1027.750
49,11/11/2020 12:30:01 午前,1.2,0.00,1.51,1027.850
50,11/11/2020 12:40:01 午前,1.2,0.00,2.01,1027.950
51,11/11/2020 12:50:01 午前,1.2,0.00,1.51,1027.850
52,11/11/2020 01:00:01 午前,1.2,0.00,1.01,1027.950
53,11/11/2020 01:10:01 午前,1.2,0.00,2.01,1027.950
54,11/11/2020 01:20:01 午前,1.2,0.00,1.51,1028.050
55,11/11/2020 01:30:01 午前,1.2,0.00,0.50,1028.050
56,11/11/2020 01:40:01 午前,1.2,0.00,1.01,1028.250
57,11/11/2020 01:50:01 午前,1.2,0.00,2.01,1028.150
58,11/11/2020 02:00:01 午前,1.2,0.00,1.01,1028.150
59,11/11/2020 02:10:01 午前,1.2,0.00,0.50,1028.150
60,11/11/2020 02:20:01 午前,1.2,0.00,1.01,1028.050
61,11/11/2020 02:30:01 午前,1.2,0.00,1.01,1028.250
62,11/11/2020 02:40:01 午前,1.2,0.00,0.50,1028.150
63,11/11/2020 02:50:01 午前,1.2,0.00,0.50,1027.850
64,11/11/2020 03:00:01 午前,1.2,0.00,1.01,1027.950
65,11/11/2020 03:10:01 午前,1.2,0.00,0.50,1027.950
66,11/11/2020 03:20:01 午前,1.2,0.00,1.01,1028.050
67,11/11/2020 03:30:01 午前,1.2,0.00,1.51,1027.950
68,11/11/2020 03:40:01 午前,1.2,0.00,1.01,1027.950
69,11/11/2020 03:50:01 午前,1.2,0.00,1.51,1028.050
70,11/11/2020 04:00:01 午前,1.2,0.00,1.51,1028.050
71,11/11/2020 04:10:01 午前,1.2,0.00,1.51,1028.050
72,11/11/2020 04:20:01 午前,1.2,0.00,2.01,1028.150
73,11/11/2020 04:30:01 午前,1.2,0.00,2.01,1028.150
74,11/11/2020 04:40:01 午前,1.2,0.00,1.51,1028.150
75,11/11/2020 04:50:01 午前,1.2,0.00,1.51,1028.150
76,11/11/2020 05:00:01 午前,1.2,0.00,1.01,1028.150
77,11/11/2020 05:10:01 午前,1.2,0.00,0.50,1028.250
78,11/11/2020 05:20:01 午前,1.2,0.00,1.01,1028.150
79,11/11/2020 05:30:01 午前,1.2,0.00,0.00,1028.250
80,11/11/2020 05:40:01 午前,1.2,0.00,0.50,1028.350
81,11/11/2020 05:50:01 午前,1.2,0.00,1.01,1028.350
82,11/11/2020 06:00:01 午前,1.2,0.00,1.01,1028.550
83,11/11/2020 06:10:01 午前,1.2,0.00,1.01,1028.650
84,11/11/2020 06:20:01 午前,1.2,0.00,0.50,1028.450
85,11/11/2020 06:30:01 午前,1.2,0.00,1.01,1028.750
86,11/11/2020 06:40:01 午前,3.7,0.00,0.00,1028.850
87,11/11/2020 06:50:01 午前,16.2,0.00,2.01,1028.950
88,11/11/2020 07:00:01 午前,31.2,0.00,1.01,1028.950
89,11/11/2020 07:10:01 午前,51.2,0.00,0.50,1029.050
90,11/11/2020 07:20:01 午前,68.7,0.00,0.50,1029.150
91,11/11/2020 07:30:01 午前,83.7,0.00,0.50,1029.250
92,11/11/2020 07:40:01 午前,98.7,0.00,0.50,1029.350
93,11/11/2020 07:50:01 午前,111.2,0.00,0.50,1029.550
94,11/11/2020 08:00:01 午前,121.2,0.00,1.01,1029.450
95,11/11/2020 08:10:01 午前,413.7,0.00,1.01,1029.550
96,11/11/2020 08:20:01 午前,473.7,0.00,1.51,1029.750
97,11/11/2020 08:30:01 午前,538.7,0.00,1.01,1029.650
98,11/11/2020 08:40:01 午前,601.2,0.00,1.51,1029.950
99,11/11/2020 08:50:01 午前,661.2,0.00,1.01,1030.050
100,11/11/2020 09:00:01 午前,718.7,0.00,1.51,1030.150
101,11/11/2020 09:10:01 午前,776.2,0.00,2.01,1030.150
102,11/11/2020 09:20:01 午前,826.2,0.50,3.52,1030.350
103,11/11/2020 09:30:01 午前,878.7,0.50,2.52,1030.350
104,11/11/2020 09:40:01 午前,926.2,0.50,3.02,1030.250
105,11/11/2020 09:50:01 午前,976.2,0.50,4.03,1030.250
106,11/11/2020 10:00:01 午前,1018.7,0.50,3.02,1030.150
107,11/11/2020 10:10:01 午前,1061.2,0.50,3.02,1030.250
108,11/11/2020 10:20:01 午前,1098.7,0.50,2.52,1030.050
109,11/11/2020 10:30:01 午前,1133.7,0.50,2.52,1030.050
110,11/11/2020 10:40:01 午前,1161.2,0.50,2.52,1030.050
111,11/11/2020 10:50:01 午前,1188.7,1.01,3.52,1029.950
112,11/11/2020 11:00:01 午前,1208.7,0.50,3.52,1029.950
113,11/11/2020 11:10:01 午前,1231.2,1.01,4.03,1029.950
114,11/11/2020 11:20:01 午前,1246.2,1.01,4.03,1029.850
115,11/11/2020 11:30:01 午前,1258.7,1.01,4.03,1029.850
116,11/11/2020 11:40:01 午前,1271.2,1.51,5.54,1029.850
117,11/11/2020 11:50:01 午前,1273.7,1.01,3.52,1029.550
118,11/11/2020 12:00:01 午後,1276.2,1.51,5.03,1029.650
119,11/11/2020 12:10:01 午後,1273.7,1.51,4.53,1029.350
120,11/11/2020 12:20:01 午後,1273.7,1.01,4.53,1029.350
121,11/11/2020 12:30:01 午後,1263.7,1.51,4.53,1029.250
122,11/11/2020 12:40:01 午後,1253.7,1.51,5.03,1029.150
123,11/11/2020 12:50:01 午後,1233.7,2.01,6.04,1028.950
124,11/11/2020 01:00:01 午後,1218.7,2.01,5.03,1028.850
125,11/11/2020 01:10:01 午後,1186.2,2.01,5.03,1028.850
126,11/11/2020 01:20:01 午後,1168.7,2.01,6.04,1028.750
127,11/11/2020 01:30:01 午後,1138.7,1.51,5.03,1028.850
128,11/11/2020 01:40:01 午後,1096.2,2.01,5.54,1028.450
129,11/11/2020 01:50:01 午後,1066.2,2.01,5.54,1028.450
130,11/11/2020 02:00:01 午後,1038.7,2.01,6.04,1028.350
131,11/11/2020 02:10:01 午後,998.7,1.51,5.03,1028.350
132,11/11/2020 02:20:01 午後,956.2,2.01,5.54,1028.250
133,11/11/2020 02:30:01 午後,906.2,2.01,5.03,1028.250
134,11/11/2020 02:40:01 午後,861.2,1.51,5.03,1028.050
135,11/11/2020 02:50:01 午後,808.7,2.01,5.54,1027.950
136,11/11/2020 03:00:01 午後,753.7,2.01,4.53,1028.150
137,11/11/2020 03:10:01 午後,691.2,1.51,5.54,1028.050
138,11/11/2020 03:20:01 午後,638.7,2.01,5.54,1028.250
139,11/11/2020 03:30:01 午後,581.2,2.01,6.54,1028.050
140,11/11/2020 03:40:01 午後,518.7,2.01,5.03,1028.250
141,11/11/2020 03:50:01 午後,458.7,2.01,5.03,1028.150
142,11/11/2020 04:00:01 午後,396.2,1.51,5.03,1028.250
143,11/11/2020 04:10:01 午後,333.7,1.01,4.03,1028.250
144,11/11/2020 04:20:01 午後,276.2,1.01,4.03,1028.250
145,11/11/2020 04:30:01 午後,218.7,1.01,3.52,1028.450
146,11/11/2020 04:40:01 午後,156.2,1.01,3.52,1028.450
147,11/11/2020 04:50:01 午後,101.2,1.01,3.52,1028.550
148,11/11/2020 05:00:01 午後,61.2,0.00,2.52,1028.650
149,11/11/2020 05:10:01 午後,33.7,0.50,3.02,1028.650
150,11/11/2020 05:20:01 午後,16.2,0.00,2.01,1028.650
151,11/11/2020 05:30:01 午後,3.7,0.00,2.01,1028.850
152,11/11/2020 05:40:01 午後,1.2,0.00,2.01,1028.850
153,11/11/2020 05:50:01 午後,1.2,0.50,2.52,1028.950
154,11/11/2020 06:00:01 午後,1.2,0.00,1.51,1028.950
155,11/11/2020 06:10:01 午後,1.2,0.00,2.01,1029.050
156,11/11/2020 06:20:01 午後,1.2,0.50,3.52,1029.150
157,11/11/2020 06:30:01 午後,1.2,0.50,3.02,1029.350
158,11/11/2020 06:40:01 午後,1.2,0.50,2.52,1029.350
159,11/11/2020 06:50:01 午後,1.2,1.01,4.03,1029.550
160,11/11/2020 07:00:01 午後,1.2,1.01,4.03,1029.550
161,11/11/2020 07:10:01 午後,1.2,1.01,3.52,1029.550
162,11/11/2020 07:20:01 午後,1.2,1.51,4.03,1029.750
163,11/11/2020 07:30:01 午後,1.2,1.51,5.03,1029.750
164,11/11/2020 07:40:01 午後,1.2,1.01,3.02,1029.950
165,11/11/2020 07:50:01 午後,1.2,1.01,3.02,1029.850
166,11/11/2020 08:00:01 午後,1.2,0.50,3.02,1030.050
167,11/11/2020 08:10:01 午後,1.2,1.51,4.53,1030.050
168,11/11/2020 08:20:01 午後,1.2,1.51,5.03,1030.250
169,11/11/2020 08:30:01 午後,1.2,1.51,4.53,1030.050
170,11/11/2020 08:40:01 午後,1.2,1.51,5.03,1030.050
171,11/11/2020 08:50:01 午後,1.2,1.01,4.03,1029.950
172,11/11/2020 09:00:01 午後,1.2,1.01,3.52,1030.150
173,11/11/2020 09:10:01 午後,1.2,1.01,3.52,1030.050
174,11/11/2020 09:20:01 午後,1.2,1.51,4.03,1029.950
175,11/11/2020 09:30:01 午後,1.2,2.01,5.54,1029.950
176,11/11/2020 09:40:01 午後,1.2,1.51,5.03,1030.050
177,11/11/2020 09:50:01 午後,1.2,1.51,4.53,1029.950
178,11/11/2020 10:00:01 午後,1.2,1.01,4.03,1030.050
179,11/11/2020 10:10:01 午後,1.2,1.01,4.03,1030.150
180,11/11/2020 10:20:01 午後,1.2,1.51,5.54,1030.350
181,11/11/2020 10:30:01 午後,1.2,2.01,5.03,1029.950
182,11/11/2020 10:40:01 午後,1.2,1.51,4.03,1029.950
183,11/11/2020 10:50:01 午後,1.2,1.51,4.03,1029.750
184,11/11/2020 11:00:01 午後,1.2,1.51,3.52,1029.650
185,11/11/2020 11:10:01 午後,1.2,1.51,4.03,1029.750
186,11/11/2020 11:20:01 午後,1.2,1.51,4.03,1029.750
187,11/11/2020 11:30:01 午後,1.2,1.01,3.02,1029.650
188,11/11/2020 11:40:01 午後,1.2,0.00,2.01,1029.650
189,11/11/2020 11:50:01 午後,1.2,0.50,2.52,1029.450
190,11/12/2020 12:00:01 午前,1.2,1.51,4.53,1029.450
191,11/12/2020 12:10:01 午前,1.2,1.01,3.52,1029.550
192,11/12/2020 12:20:01 午前,1.2,1.01,3.52,1029.650
193,11/12/2020 12:30:01 午前,1.2,0.50,3.52,1029.750
194,11/12/2020 12:40:01 午前,1.2,1.01,4.03,1029.750
195,11/12/2020 12:50:01 午前,1.2,1.01,3.52,1029.850
196,11/12/2020 01:00:01 午前,1.2,0.50,3.02,1029.850
197,11/12/2020 01:10:01 午前,1.2,0.50,3.02,1029.850
198,11/12/2020 01:20:01 午前,1.2,1.01,4.03,1029.750
199,11/12/2020 01:30:01 午前,1.2,1.01,2.52,1029.850
200,11/12/2020 01:40:01 午前,1.2,1.01,3.02,1029.750
201,11/12/2020 01:50:01 午前,1.2,1.51,4.03,1029.850
202,11/12/2020 02:00:01 午前,1.2,1.01,3.02,1029.750
203,11/12/2020 02:10:01 午前,1.2,0.50,2.01,1029.750
204,11/12/2020 02:20:01 午前,1.2,1.01,3.02,1029.550
205,11/12/2020 02:30:01 午前,1.2,1.01,3.02,1029.550
206,11/12/2020 02:40:01 午前,1.2,1.51,4.03,1029.450
207,11/12/2020 02:50:01 午前,1.2,1.01,3.52,1029.350
208,11/12/2020 03:00:01 午前,1.2,1.51,4.03,1029.250
209,11/12/2020 03:10:01 午前,1.2,1.01,3.52,1029.450
210,11/12/2020 03:20:01 午前,1.2,1.01,3.02,1029.250
211,11/12/2020 03:30:01 午前,1.2,1.01,3.02,1029.350
212,11/12/2020 03:40:01 午前,1.2,1.51,4.03,1029.250
213,11/12/2020 03:50:01 午前,1.2,1.01,4.03,1029.150
214,11/12/2020 04:00:01 午前,1.2,1.01,3.02,1029.050
215,11/12/2020 04:10:01 午前,1.2,1.51,4.03,1028.950
216,11/12/2020 04:20:01 午前,1.2,0.50,3.02,1028.950
217,11/12/2020 04:30:01 午前,1.2,0.50,3.52,1028.950
218,11/12/2020 04:40:01 午前,1.2,1.01,3.02,1029.050
219,11/12/2020 04:50:01 午前,1.2,0.50,3.52,1028.950
220,11/12/2020 05:00:01 午前,1.2,0.50,2.52,1028.950
221,11/12/2020 05:10:01 午前,1.2,1.01,3.52,1028.950
222,11/12/2020 05:20:01 午前,1.2,0.50,3.02,1028.950
223,11/12/2020 05:30:01 午前,1.2,1.01,4.03,1028.950
224,11/12/2020 05:40:01 午前,1.2,1.01,3.52,1029.150
225,11/12/2020 05:50:01 午前,1.2,0.50,2.52,1029.150
226,11/12/2020 06:00:01 午前,1.2,1.01,4.03,1029.250
227,11/12/2020 06:10:01 午前,1.2,1.01,3.02,1029.250
228,11/12/2020 06:20:01 午前,1.2,1.01,3.02,1029.450
229,11/12/2020 06:30:01 午前,1.2,1.01,2.52,1029.450
230,11/12/2020 06:40:01 午前,1.2,1.01,3.02,1029.550
231,11/12/2020 06:50:01 午前,13.7,1.01,3.02,1029.450
232,11/12/2020 07:00:01 午前,28.7,0.50,2.01,1029.650
233,11/12/2020 07:10:01 午前,48.7,0.00,2.52,1029.550
234,11/12/2020 07:20:01 午前,66.2,0.50,3.02,1029.550
235,11/12/2020 07:30:01 午前,83.7,1.01,3.02,1029.750
236,11/12/2020 07:40:01 午前,98.7,1.01,2.52,1029.750
237,11/12/2020 07:50:01 午前,108.7,1.01,3.02,1029.750
238,11/12/2020 08:00:01 午前,121.2,0.50,3.02,1029.850
239,11/12/2020 08:10:01 午前,396.2,0.00,2.01,1029.750
240,11/12/2020 08:20:01 午前,461.2,0.00,0.50,1029.950
241,11/12/2020 08:30:01 午前,521.2,0.00,0.50,1029.850
242,11/12/2020 08:40:01 午前,583.7,0.00,0.50,1029.850
243,11/12/2020 08:50:01 午前,641.2,0.00,0.50,1029.850
244,11/12/2020 09:00:01 午前,696.2,0.00,2.01,1029.750
245,11/12/2020 09:10:01 午前,758.7,0.00,1.51,1029.850
246,11/12/2020 09:20:01 午前,813.7,0.00,2.01,1029.950
247,11/12/2020 09:30:01 午前,866.2,0.50,2.52,1029.750
248,11/12/2020 09:40:01 午前,918.7,0.50,2.52,1029.550
249,11/12/2020 09:50:01 午前,961.2,0.50,2.52,1029.450
250,11/12/2020 10:00:01 午前,1003.7,0.50,2.52,1029.450
251,11/12/2020 10:10:01 午前,1043.7,0.00,2.01,1029.550
252,11/12/2020 10:20:01 午前,1086.2,0.00,1.51,1029.450
253,11/12/2020 10:30:01 午前,1118.7,1.01,3.52,1029.150
254,11/12/2020 10:40:01 午前,1151.2,1.01,3.02,1029.150
255,11/12/2020 10:50:01 午前,1181.2,1.01,3.02,1029.150
256,11/12/2020 11:00:01 午前,1203.7,0.50,3.02,1028.850
257,11/12/2020 11:10:01 午前,1223.7,0.50,3.02,1028.750
258,11/12/2020 11:20:01 午前,1246.2,0.50,2.52,1028.650
259,11/12/2020 11:30:01 午前,1258.7,1.01,3.02,1028.650
260,11/12/2020 11:40:01 午前,1266.2,1.01,4.03,1028.350
261,11/12/2020 11:50:01 午前,1271.2,1.01,3.02,1028.250
262,11/12/2020 12:00:01 午後,1268.7,1.51,3.52,1028.050
263,11/12/2020 12:10:01 午後,1268.7,0.50,2.52,1027.950
264,11/12/2020 12:20:01 午後,1258.7,1.51,4.03,1027.750
265,11/12/2020 12:30:01 午後,1243.7,1.01,3.02,1027.550
266,11/12/2020 12:40:01 午後,1241.2,1.01,3.02,1027.450
267,11/12/2020 12:50:01 午後,1216.2,0.50,2.52,1027.250
268,11/12/2020 01:00:01 午後,1208.7,0.50,2.01,1027.050
269,11/12/2020 01:10:01 午後,1193.7,1.01,3.02,1026.950
270,11/12/2020 01:20:01 午後,1171.2,0.50,3.02,1026.650
271,11/12/2020 01:30:01 午後,1141.2,0.50,3.02,1026.650
272,11/12/2020 01:40:01 午後,1116.2,0.50,3.52,1026.550
273,11/12/2020 01:50:01 午後,1081.2,0.50,3.02,1026.350
274,11/12/2020 02:00:01 午後,1036.2,0.50,3.02,1026.250
275,11/12/2020 02:10:01 午後,993.7,0.50,3.52,1026.250
276,11/12/2020 02:20:01 午後,948.7,0.00,2.01,1026.150
277,11/12/2020 02:30:01 午後,901.2,0.50,2.52,1026.150
278,11/12/2020 02:40:01 午後,846.2,0.50,2.52,1026.150
279,11/12/2020 02:50:01 午後,786.2,0.50,2.52,1026.150
280,11/12/2020 03:00:01 午後,733.7,0.50,2.52,1026.150
281,11/12/2020 03:10:01 午後,686.2,0.50,2.52,1026.150
282,11/12/2020 03:20:01 午後,628.7,0.50,3.02,1025.950
283,11/12/2020 03:30:01 午後,573.7,1.01,3.52,1026.050
284,11/12/2020 03:40:01 午後,508.7,0.50,3.02,1026.150
285,11/12/2020 03:50:01 午後,443.7,0.50,3.02,1026.250
286,11/12/2020 04:00:01 午後,388.7,1.01,3.02,1026.250
287,11/12/2020 04:10:01 午後,328.7,0.50,2.52,1026.050
288,11/12/2020 04:20:01 午後,271.2,0.50,3.02,1026.150
289,11/12/2020 04:30:01 午後,213.7,0.00,1.51,1026.150
290,11/12/2020 04:40:01 午後,153.7,0.00,1.01,1026.050
291,11/12/2020 04:50:01 午後,101.2,0.00,1.01,1026.050
292,11/12/2020 05:00:01 午後,58.7,0.00,1.51,1026.150
293,11/12/2020 05:10:01 午後,31.2,0.00,1.01,1026.250
294,11/12/2020 05:20:01 午後,13.7,0.00,0.50,1026.450
295,11/12/2020 05:30:01 午後,3.7,0.00,1.01,1026.550
296,11/12/2020 05:40:01 午後,1.2,0.00,1.01,1026.550
297,11/12/2020 05:50:01 午後,1.2,0.00,1.51,1026.650
298,11/12/2020 06:00:01 午後,1.2,0.00,1.01,1026.650
299,11/12/2020 06:10:01 午後,1.2,0.00,1.01,1026.850
300,11/12/2020 06:20:01 午後,1.2,0.00,2.52,1027.050
301,11/12/2020 06:30:01 午後,1.2,0.00,1.01,1027.050
302,11/12/2020 06:40:01 午後,1.2,0.00,1.51,1027.150
303,11/12/2020 06:50:01 午後,1.2,0.00,1.01,1027.350
304,11/12/2020 07:00:01 午後,1.2,0.00,1.51,1027.350
305,11/12/2020 07:10:01 午後,1.2,0.00,2.52,1027.450
306,11/12/2020 07:20:01 午後,1.2,0.00,3.02,1027.450
307,11/12/2020 07:30:01 午後,1.2,0.50,3.52,1027.450
308,11/12/2020 07:40:01 午後,1.2,0.00,1.51,1027.450
309,11/12/2020 07:50:01 午後,1.2,0.00,2.52,1027.450
310,11/12/2020 08:00:01 午後,1.2,0.00,2.01,1027.450
311,11/12/2020 08:10:01 午後,1.2,0.50,3.02,1027.450
312,11/12/2020 08:20:01 午後,1.2,0.00,2.52,1027.350
313,11/12/2020 08:30:01 午後,1.2,0.00,2.01,1027.350
314,11/12/2020 08:40:01 午後,1.2,0.00,2.01,1027.350
315,11/12/2020 08:50:01 午後,1.2,0.00,1.51,1027.450
316,11/12/2020 09:00:01 午後,1.2,0.00,0.50,1027.550
317,11/12/2020 09:10:01 午後,1.2,0.00,1.01,1027.550
318,11/12/2020 09:20:01 午後,1.2,0.00,1.51,1027.450
319,11/12/2020 09:30:01 午後,1.2,0.00,1.01,1027.550
320,11/12/2020 09:40:01 午後,1.2,0.00,1.01,1027.550
321,11/12/2020 09:50:01 午後,1.2,0.00,1.51,1027.550
322,11/12/2020 10:00:01 午後,1.2,0.00,1.01,1027.450
323,11/12/2020 10:10:01 午後,1.2,0.00,0.50,1027.450
324,11/12/2020 10:20:01 午後,1.2,0.00,1.01,1027.250
325,11/12/2020 10:30:01 午後,1.2,0.00,1.51,1027.250
326,11/12/2020 10:40:01 午後,1.2,0.00,1.51,1027.250
327,11/12/2020 10:50:01 午後,1.2,0.00,0.50,1027.250
328,11/12/2020 11:00:01 午後,1.2,0.00,1.01,1027.150
329,11/12/2020 11:10:01 午後,1.2,0.00,0.50,1027.150
330,11/12/2020 11:20:01 午後,1.2,0.00,1.01,1027.150
331,11/12/2020 11:30:01 午後,1.2,0.00,1.01,1027.050
332,11/12/2020 11:40:01 午後,1.2,0.00,1.51,1026.950
333,11/12/2020 11:50:01 午後,1.2,0.00,1.51,1026.650
334,11/13/2020 12:00:01 午前,1.2,0.00,1.51,1026.750
335,11/13/2020 12:10:01 午前,1.2,0.00,1.51,1026.750
336,11/13/2020 12:20:01 午前,1.2,0.00,1.51,1026.750
337,11/13/2020 12:30:01 午前,1.2,0.00,2.01,1026.750
338,11/13/2020 12:40:01 午前,1.2,0.00,1.51,1026.550
339,11/13/2020 12:50:01 午前,1.2,0.50,2.52,1026.550
340,11/13/2020 01:00:01 午前,1.2,0.00,1.01,1026.550
341,11/13/2020 01:10:01 午前,1.2,0.00,0.50,1026.450
342,11/13/2020 01:20:01 午前,1.2,0.00,1.01,1026.350
343,11/13/2020 01:30:01 午前,1.2,0.00,1.01,1026.350
344,11/13/2020 01:40:01 午前,1.2,0.00,1.51,1026.450
345,11/13/2020 01:50:01 午前,1.2,0.00,1.01,1026.350
346,11/13/2020 02:00:01 午前,1.2,0.00,1.01,1026.250
347,11/13/2020 02:10:01 午前,1.2,0.00,1.01,1026.250
348,11/13/2020 02:20:01 午前,1.2,0.00,1.01,1026.250
349,11/13/2020 02:30:01 午前,1.2,0.00,2.01,1026.050
350,11/13/2020 02:40:01 午前,1.2,0.00,2.01,1026.050
351,11/13/2020 02:50:01 午前,1.2,0.50,2.52,1026.050
352,11/13/2020 03:00:01 午前,1.2,0.50,3.02,1025.850
353,11/13/2020 03:10:01 午前,1.2,0.00,2.01,1025.750
354,11/13/2020 03:20:01 午前,1.2,0.00,2.01,1025.650
355,11/13/2020 03:30:01 午前,1.2,0.00,2.52,1025.750
356,11/13/2020 03:40:01 午前,1.2,0.50,2.01,1025.450
357,11/13/2020 03:50:01 午前,1.2,0.00,1.01,1025.550
358,11/13/2020 04:00:01 午前,1.2,0.00,1.51,1025.450
359,11/13/2020 04:10:01 午前,1.2,0.00,0.50,1025.550
360,11/13/2020 04:20:01 午前,1.2,0.00,1.01,1025.550
361,11/13/2020 04:30:01 午前,1.2,0.00,1.01,1025.350
362,11/13/2020 04:40:01 午前,1.2,0.00,1.51,1025.450
363,11/13/2020 04:50:01 午前,1.2,0.00,0.50,1025.550
364,11/13/2020 05:00:01 午前,1.2,0.00,1.01,1025.550
365,11/13/2020 05:10:01 午前,1.2,0.00,1.01,1025.650
366,11/13/2020 05:20:01 午前,1.2,0.00,1.01,1025.750
367,11/13/2020 05:30:01 午前,1.2,0.00,2.01,1025.850
368,11/13/2020 05:40:01 午前,1.2,0.00,1.51,1025.850
369,11/13/2020 05:50:01 午前,1.2,0.00,2.01,1025.950
370,11/13/2020 06:00:01 午前,1.2,0.00,1.51,1025.950
371,11/13/2020 06:10:01 午前,1.2,0.50,2.52,1025.950
372,11/13/2020 06:20:01 午前,1.2,0.00,1.51,1026.050
373,11/13/2020 06:30:01 午前,1.2,0.00,1.01,1026.050
374,11/13/2020 06:40:01 午前,1.2,0.00,0.50,1026.050
375,11/13/2020 06:50:01 午前,11.2,0.00,0.50,1026.150
376,11/13/2020 07:00:01 午前,28.7,0.00,1.01,1026.050
377,11/13/2020 07:10:01 午前,48.7,0.00,2.01,1026.350
378,11/13/2020 07:20:01 午前,66.2,0.00,1.01,1026.350
379,11/13/2020 07:30:01 午前,83.7,0.00,2.01,1026.350
380,11/13/2020 07:40:01 午前,101.2,0.50,2.52,1026.350
381,11/13/2020 07:50:01 午前,113.7,0.50,2.52,1026.450
382,11/13/2020 08:00:01 午前,123.7,0.00,1.01,1026.650
383,11/13/2020 08:10:01 午前,386.2,0.50,3.02,1026.650
384,11/13/2020 08:20:01 午前,448.7,1.01,3.52,1026.750
385,11/13/2020 08:30:01 午前,513.7,0.50,3.52,1026.650
386,11/13/2020 08:40:01 午前,573.7,0.50,2.52,1026.650
387,11/13/2020 08:50:01 午前,623.7,0.50,2.52,1026.650
388,11/13/2020 09:00:01 午前,688.7,0.50,2.52,1026.750
389,11/13/2020 09:10:01 午前,741.2,1.01,3.02,1026.550
390,11/13/2020 09:20:01 午前,788.7,0.50,2.52,1026.750
391,11/13/2020 09:30:01 午前,843.7,0.50,2.01,1026.650
392,11/13/2020 09:40:01 午前,898.7,0.50,1.51,1026.450
393,11/13/2020 09:50:01 午前,953.7,1.01,3.52,1026.450
394,11/13/2020 10:00:01 午前,988.7,0.50,3.02,1026.450
